#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 400
# Band-Index    1
   0.26267    -14.363528    -14.363528
   0.27371    -14.380242    -14.380242
   0.28476    -14.396568    -14.396568
   0.29580    -14.412496    -14.412495
   0.30684    -14.428011    -14.428011
   0.31788    -14.443103    -14.443103
   0.32892    -14.457763    -14.457762
   0.33997    -14.471979    -14.471979
   0.35101    -14.485740    -14.485739
   0.36205    -14.498858    -14.498858
   0.36205    -14.498858    -14.498858
   0.38414    -14.523942    -14.523942
   0.40622    -14.547146    -14.547146
   0.42831    -14.568327    -14.568326
   0.45040    -14.587426    -14.587426
   0.47249    -14.604397    -14.604396
   0.49458    -14.619194    -14.619193
   0.51666    -14.631779    -14.631779
   0.53875    -14.642120    -14.642120
   0.56084    -14.650194    -14.650193
   0.58293    -14.655981    -14.655981
   0.60501    -14.659489    -14.659489
   0.62710    -14.656592    -14.656592
 
# Band-Index    6
   0.62710    -14.656453    -14.656453
   0.60501    -14.622376    -14.622376
   0.58293    -14.578882    -14.578882
   0.56084    -14.533715    -14.533714
   0.53875    -14.487114    -14.487113
   0.51666    -14.439225    -14.439225
   0.49458    -14.390185    -14.390185
   0.47249    -14.340130    -14.340130
   0.45040    -14.289221    -14.289221
   0.42831    -14.337513    -14.337513
   0.40622    -14.392258    -14.392257
   0.38414    -14.446105    -14.446104
   0.36205    -14.498725    -14.498725
   0.36205    -14.498725    -14.498725
   0.35101    -14.485498    -14.485497
   0.33997    -14.471738    -14.471737
   0.32892    -14.457522    -14.457521
   0.31788    -14.442863    -14.442863
   0.30684    -14.427771    -14.427771
   0.29580    -14.412256    -14.412256
   0.28476    -14.396329    -14.396329
   0.27371    -14.380003    -14.380003
   0.26267    -14.363290    -14.363290
   0.25163    -14.346202    -14.346201
   0.24059    -14.328752    -14.328752
   0.22954    -14.311208    -14.311207
   0.22954    -14.311208    -14.311207
   0.21042    -14.346918    -14.346918
   0.19129    -14.381785    -14.381784
   0.17216    -14.415557    -14.415557
   0.15303    -14.448169    -14.448169
   0.13390    -14.479559    -14.479559
   0.11477    -14.509669    -14.509668
   0.09564    -14.538442    -14.538442
   0.07651    -14.565825    -14.565825
   0.05739    -14.591763    -14.591762
   0.03826    -14.616188    -14.616188
   0.01913    -14.638958    -14.638958
   0.00000    -14.656453    -14.656453
 
# Band-Index    7
   0.00000    -14.652228    -14.652228
   0.01913    -14.617246    -14.617245
   0.03826    -14.575139    -14.575138
   0.05739    -14.531552    -14.531552
   0.07651    -14.486940    -14.486939
   0.09564    -14.441476    -14.441475
   0.11477    -14.395287    -14.395287
   0.13390    -14.348489    -14.348488
   0.15303    -14.301197    -14.301196
   0.17216    -14.253530    -14.253530
   0.19129    -14.236573    -14.236573
   0.21042    -14.274279    -14.274279
   0.22954    -14.310841    -14.310841
   0.22954    -14.310841    -14.310841
   0.24059    -14.293057    -14.293057
   0.25163    -14.274608    -14.274608
   0.26267    -14.255854    -14.255854
   0.27371    -14.236813    -14.236813
   0.28476    -14.217503    -14.217503
   0.29580    -14.197941    -14.197941
   0.30684    -14.178150    -14.178150
   0.31788    -14.158155    -14.158155
   0.32892    -14.138000    -14.138000
   0.33997    -14.117764    -14.117763
   0.35101    -14.097740    -14.097740
   0.36205    -14.080329    -14.080329
   0.36205    -14.080329    -14.080329
   0.38414    -14.132768    -14.132767
   0.40622    -14.185358    -14.185358
   0.42831    -14.237559    -14.237559
   0.45040    -14.282001    -14.282000
   0.47249    -14.331635    -14.331635
   0.49458    -14.381703    -14.381703
   0.51666    -14.430752    -14.430752
   0.53875    -14.478648    -14.478648
   0.56084    -14.525257    -14.525257
   0.58293    -14.570436    -14.570435
   0.60501    -14.613983    -14.613982
   0.62710    -14.652228    -14.652228
 
# Band-Index    8
   0.62710    -14.038955    -14.038954
   0.60501    -14.038302    -14.038302
   0.58293    -14.036347    -14.036347
   0.56084    -14.033091    -14.033090
   0.53875    -14.055789    -14.055789
   0.51666    -14.112643    -14.112642
   0.49458    -14.169415    -14.169415
   0.47249    -14.225930    -14.225930
   0.45040    -14.280695    -14.280694
   0.42831    -14.229030    -14.229030
   0.40622    -14.176799    -14.176799
   0.38414    -14.124165    -14.124164
   0.36205    -14.080138    -14.080138
   0.36205    -14.080138    -14.080138
   0.35101    -14.097316    -14.097315
   0.33997    -14.117440    -14.117439
   0.32892    -14.137714    -14.137714
   0.31788    -14.157888    -14.157888
   0.30684    -14.177893    -14.177893
   0.29580    -14.197691    -14.197691
   0.28476    -14.217258    -14.217257
   0.27371    -14.236571    -14.236570
   0.26267    -14.255614    -14.255613
   0.25163    -14.274369    -14.274368
   0.24059    -14.292819    -14.292819
   0.22954    -14.310764    -14.310764
   0.22954    -14.310764    -14.310764
   0.21042    -14.274178    -14.274177
   0.19129    -14.236458    -14.236457
   0.17216    -14.198066    -14.198065
   0.15303    -14.158862    -14.158861
   0.13390    -14.119042    -14.119041
   0.11477    -14.078702    -14.078702
   0.09564    -14.037951    -14.037950
   0.07651    -14.031139    -14.031138
   0.05739    -14.034555    -14.034554
   0.03826    -14.036998    -14.036998
   0.01913    -14.038466    -14.038466
   0.00000    -14.038955    -14.038954
 
# Band-Index    9
   0.00000    -13.832598    -13.832598
   0.01913    -13.873040    -13.873039
   0.03826    -13.914272    -13.914272
   0.05739    -13.955601    -13.955601
   0.07651    -13.996865    -13.996865
   0.09564    -14.037699    -14.037699
   0.11477    -14.078500    -14.078500
   0.13390    -14.118872    -14.118872
   0.15303    -14.158718    -14.158717
   0.17216    -14.197942    -14.197942
   0.19129    -14.205602    -14.205602
   0.21042    -14.157556    -14.157555
   0.22954    -14.109561    -14.109561
   0.22954    -14.109561    -14.109561
   0.24059    -14.109321    -14.109321
   0.25163    -14.108601    -14.108601
   0.26267    -14.107400    -14.107400
   0.27371    -14.105719    -14.105719
   0.28476    -14.103560    -14.103560
   0.29580    -14.100920    -14.100920
   0.30684    -14.097799    -14.097799
   0.31788    -14.094191    -14.094191
   0.32892    -14.090083    -14.090083
   0.33997    -14.085427    -14.085426
   0.35101    -14.079999    -14.079999
   0.36205    -14.079318    -14.079318
   0.36205    -14.079318    -14.079318
   0.38414    -14.064223    -14.064223
   0.40622    -14.050077    -14.050077
   0.42831    -14.034462    -14.034462
   0.45040    -14.017277    -14.017277
   0.47249    -14.007235    -14.007234
   0.49458    -14.015592    -14.015592
   0.51666    -14.022700    -14.022700
   0.53875    -14.028535    -14.028534
   0.56084    -13.999038    -13.999038
   0.58293    -13.942601    -13.942600
   0.60501    -13.886704    -13.886703
   0.62710    -13.832598    -13.832598
 
# Band-Index   10
   0.62710    -13.832528    -13.832528
   0.60501    -13.858611    -13.858610
   0.58293    -13.884704    -13.884704
   0.56084    -13.909855    -13.909855
   0.53875    -13.933925    -13.933924
   0.51666    -13.956797    -13.956796
   0.49458    -13.978371    -13.978371
   0.47249    -13.998556    -13.998556
   0.45040    -14.017170    -14.017170
   0.42831    -14.034347    -14.034347
   0.40622    -14.049946    -14.049946
   0.38414    -14.064033    -14.064033
   0.36205    -14.071587    -14.071586
   0.36205    -14.071587    -14.071586
   0.35101    -14.079774    -14.079773
   0.33997    -14.085297    -14.085296
   0.32892    -14.089981    -14.089980
   0.31788    -14.094098    -14.094097
   0.30684    -14.097708    -14.097708
   0.29580    -14.100830    -14.100830
   0.28476    -14.103470    -14.103470
   0.27371    -14.105629    -14.105629
   0.26267    -14.107310    -14.107310
   0.25163    -14.108511    -14.108510
   0.24059    -14.109231    -14.109231
   0.22954    -14.109471    -14.109470
   0.22954    -14.109471    -14.109470
   0.21042    -14.061631    -14.061631
   0.19129    -14.014072    -14.014072
   0.17216    -13.999706    -13.999705
   0.15303    -14.007867    -14.007867
   0.13390    -14.015105    -14.015104
   0.11477    -14.021402    -14.021401
   0.09564    -14.026739    -14.026739
   0.07651    -13.996574    -13.996573
   0.05739    -13.955234    -13.955233
   0.03826    -13.913797    -13.913797
   0.01913    -13.872399    -13.872399
   0.00000    -13.832528    -13.832528
 
# Band-Index   11
   0.00000    -13.832073    -13.832072
