  #K-Path    Energy        Mo         S        Si
# Band-Index    1
    0.296  -14.6496     0.125     0.593     0.000
    0.285  -14.6735     0.125     0.596     0.000
    0.274  -14.6970     0.125     0.596     0.000
    0.263  -14.7201     0.125     0.598     0.000
    0.252  -14.7427     0.125     0.598     0.000
    0.241  -14.7649     0.125     0.600     0.000
    0.230  -14.7864     0.120     0.595     0.000
    0.230  -14.7864     0.120     0.595     0.000
    0.210  -14.7855     0.125     0.595     0.000
    0.191  -14.7829     0.125     0.594     0.000
    0.172  -14.7784     0.125     0.594     0.000
    0.153  -14.7722     0.125     0.594     0.000
    0.134  -14.7642     0.125     0.593     0.000
    0.115  -14.7544     0.125     0.593     0.000
    0.096  -14.7429     0.125     0.590     0.000
    0.077  -14.7296     0.125     0.589     0.000
    0.057  -14.7146     0.125     0.590     0.000
    0.038  -14.6979     0.125     0.590     0.000
    0.019  -14.6791     0.122     0.595     0.000
    0.000  -14.6649     0.123     0.593     0.000
 
# Band-Index    5
    0.000  -14.6565     0.124     0.590     0.000
    0.019  -14.6403     0.123     0.597     0.000
    0.038  -14.6167     0.125     0.596     0.000
    0.057  -14.5920     0.122     0.593     0.000
    0.077  -14.5660     0.122     0.598     0.000
    0.096  -14.5385     0.121     0.596     0.000
    0.115  -14.5097     0.119     0.599     0.000
    0.134  -14.4796     0.118     0.600     0.000
    0.153  -14.4482     0.123     0.604     0.000
    0.172  -14.4156     0.122     0.601     0.000
    0.191  -14.3818     0.120     0.602     0.000
    0.210  -14.3469     0.119     0.604     0.000
    0.230  -14.3114     0.119     0.604     0.000
    0.230  -14.3114     0.119     0.604     0.000
    0.241  -14.3289     0.120     0.606     0.000
    0.252  -14.3463     0.120     0.601     0.000
    0.263  -14.3634     0.120     0.602     0.000
    0.274  -14.3801     0.120     0.599     0.000
    0.285  -14.3965     0.120     0.599     0.000
    0.296  -14.4124     0.120     0.600     0.000
    0.307  -14.4279     0.120     0.599     0.000
    0.318  -14.4430     0.121     0.599     0.000
    0.329  -14.4576     0.122     0.599     0.000
    0.340  -14.4718     0.122     0.601     0.000
    0.351  -14.4856     0.122     0.600     0.000
    0.362  -14.4988     0.121     0.602     0.000
    0.362  -14.4988     0.121     0.602     0.000
    0.384  -14.5238     0.121     0.601     0.000
    0.406  -14.5470     0.121     0.600     0.000
    0.428  -14.5682     0.122     0.600     0.000
    0.450  -14.5873     0.123     0.600     0.000
    0.472  -14.6043     0.123     0.598     0.000
    0.495  -14.6191     0.123     0.593     0.000
    0.517  -14.6316     0.123     0.591     0.000
    0.539  -14.6420     0.123     0.590     0.000
    0.561  -14.6501     0.123     0.594     0.000
    0.583  -14.6558     0.125     0.593     0.000
    0.605  -14.6593     0.125     0.591     0.000
    0.627  -14.6565     0.124     0.590     0.000
 
# Band-Index    6
    0.627  -14.6563     0.125     0.593     0.000
    0.605  -14.6222     0.124     0.591     0.000
    0.583  -14.5788     0.120     0.590     0.000
    0.561  -14.5336     0.121     0.588     0.000
    0.539  -14.4870     0.125     0.596     0.000
    0.517  -14.4391     0.120     0.598     0.000
    0.495  -14.3901     0.121     0.594     0.000
    0.472  -14.3400     0.120     0.594     0.000
    0.450  -14.2891     0.124     0.600     0.000
    0.428  -14.3374     0.123     0.600     0.000
    0.406  -14.3922     0.118     0.604     0.000
    0.384  -14.4460     0.118     0.604     0.000
    0.362  -14.4986     0.120     0.607     0.000
    0.362  -14.4986     0.120     0.607     0.000
    0.351  -14.4854     0.122     0.609     0.000
    0.340  -14.4717     0.122     0.608     0.000
    0.329  -14.4574     0.120     0.606     0.000
    0.318  -14.4428     0.120     0.602     0.000
    0.307  -14.4277     0.121     0.602     0.000
    0.296  -14.4122     0.122     0.602     0.000
    0.285  -14.3963     0.122     0.602     0.000
    0.274  -14.3799     0.122     0.602     0.000
    0.263  -14.3632     0.122     0.600     0.000
    0.252  -14.3461     0.122     0.600     0.000
    0.241  -14.3287     0.121     0.600     0.000
    0.230  -14.3112     0.122     0.600     0.000
    0.230  -14.3112     0.122     0.600     0.000
    0.210  -14.3468     0.125     0.604     0.000
    0.191  -14.3817     0.125     0.605     0.000
    0.172  -14.4155     0.125     0.607     0.000
    0.153  -14.4481     0.120     0.608     0.000
    0.134  -14.4795     0.120     0.605     0.000
    0.115  -14.5096     0.120     0.600     0.000
    0.096  -14.5383     0.120     0.600     0.000
    0.077  -14.5657     0.122     0.600     0.000
    0.057  -14.5917     0.123     0.601     0.000
    0.038  -14.6161     0.123     0.596     0.000
    0.019  -14.6389     0.123     0.595     0.000
    0.000  -14.6563     0.125     0.593     0.000
 
# Band-Index    7
    0.000  -14.6521     0.122     0.589     0.000
    0.019  -14.6171     0.122     0.596     0.000
    0.038  -14.5750     0.122     0.593     0.000
    0.057  -14.5314     0.123     0.599     0.000
    0.077  -14.4868     0.121     0.600     0.000
    0.096  -14.4414     0.121     0.603     0.000
    0.115  -14.3952     0.122     0.603     0.000
    0.134  -14.3484     0.122     0.605     0.000
    0.153  -14.3011     0.122     0.609     0.000
    0.172  -14.2535     0.122     0.613     0.000
    0.191  -14.2365     0.123     0.613     0.000
    0.210  -14.2742     0.123     0.607     0.000
    0.230  -14.3108     0.119     0.609     0.000
    0.230  -14.3108     0.119     0.609     0.000
    0.241  -14.2930     0.120     0.610     0.000
    0.252  -14.2745     0.120     0.610     0.000
    0.263  -14.2558     0.120     0.610     0.000
    0.274  -14.2367     0.120     0.611     0.000
    0.285  -14.2174     0.120     0.614     0.000
    0.296  -14.1979     0.120     0.617     0.000
    0.307  -14.1781     0.119     0.615     0.000
    0.318  -14.1581     0.120     0.617     0.000
    0.329  -14.1379     0.116     0.618     0.000
    0.340  -14.1177     0.114     0.619     0.000
    0.351  -14.0977     0.121     0.618     0.000
    0.362  -14.0803     0.118     0.617     0.000
    0.362  -14.0803     0.118     0.617     0.000
    0.384  -14.1327     0.120     0.614     0.000
    0.406  -14.1853     0.120     0.610     0.000
    0.428  -14.2375     0.120     0.608     0.000
    0.450  -14.2819     0.124     0.606     0.000
    0.472  -14.3316     0.121     0.601     0.000
    0.495  -14.3816     0.123     0.600     0.000
    0.517  -14.4307     0.125     0.598     0.000
    0.539  -14.4785     0.125     0.595     0.000
    0.561  -14.5251     0.124     0.599     0.000
    0.583  -14.5703     0.124     0.592     0.000
    0.605  -14.6139     0.126     0.594     0.000
    0.627  -14.6521     0.122     0.589     0.000
 
# Band-Index    8
    0.627  -14.0387     0.054     0.632     0.000
    0.605  -14.0381     0.054     0.632     0.000
    0.583  -14.0361     0.054     0.633     0.000
    0.561  -14.0329     0.054     0.635     0.000
    0.539  -14.0558     0.056     0.637     0.000
    0.517  -14.1126     0.119     0.623     0.000
    0.495  -14.1694     0.118     0.619     0.000
    0.472  -14.2259     0.121     0.617     0.000
    0.450  -14.2806     0.120     0.614     0.000
    0.428  -14.2290     0.121     0.610     0.000
    0.406  -14.1767     0.123     0.616     0.000
    0.384  -14.1241     0.124     0.604     0.000
    0.362  -14.0801     0.119     0.607     0.000
    0.362  -14.0801     0.119     0.607     0.000
    0.351  -14.0973     0.122     0.610     0.000
    0.340  -14.1174     0.122     0.613     0.000
    0.329  -14.1377     0.124     0.616     0.000
    0.318  -14.1579     0.120     0.613     0.000
    0.307  -14.1779     0.120     0.612     0.000
    0.296  -14.1977     0.120     0.609     0.000
    0.285  -14.2172     0.120     0.609     0.000
    0.274  -14.2365     0.120     0.612     0.000
    0.263  -14.2556     0.122     0.613     0.000
    0.252  -14.2743     0.120     0.618     0.000
    0.241  -14.2928     0.119     0.623     0.000
    0.230  -14.3107     0.120     0.621     0.000
    0.230  -14.3107     0.120     0.621     0.000
    0.210  -14.2741     0.120     0.610     0.000
    0.191  -14.2364     0.120     0.609     0.000
    0.172  -14.1980     0.120     0.605     0.000
    0.153  -14.1588     0.120     0.607     0.000
    0.134  -14.1190     0.125     0.613     0.000
    0.115  -14.0787     0.125     0.615     0.000
    0.096  -14.0379     0.125     0.615     0.000
    0.077  -14.0309     0.121     0.616     0.000
    0.057  -14.0343     0.056     0.632     0.000
    0.038  -14.0368     0.054     0.632     0.000
    0.019  -14.0382     0.054     0.632     0.000
    0.000  -14.0387     0.054     0.632     0.000
 
# Band-Index    9
    0.000  -13.8326     0.115     0.632     0.000
    0.019  -13.8730     0.115     0.631     0.000
    0.038  -13.9143     0.118     0.628     0.000
    0.057  -13.9556     0.119     0.628     0.000
    0.077  -13.9968     0.119     0.620     0.000
    0.096  -14.0377     0.120     0.622     0.000
    0.115  -14.0785     0.116     0.621     0.000
    0.134  -14.1188     0.119     0.619     0.000
    0.153  -14.1587     0.115     0.617     0.000
    0.172  -14.1979     0.121     0.611     0.000
    0.191  -14.2055     0.124     0.613     0.000
    0.210  -14.1575     0.124     0.611     0.000
    0.230  -14.1095     0.122     0.615     0.000
    0.230  -14.1095     0.122     0.615     0.000
    0.241  -14.1093     0.122     0.614     0.000
    0.252  -14.1086     0.122     0.613     0.000
    0.263  -14.1074     0.122     0.614     0.000
    0.274  -14.1057     0.122     0.623     0.000
    0.285  -14.1035     0.122     0.620     0.000
    0.296  -14.1009     0.121     0.621     0.000
    0.307  -14.0978     0.118     0.616     0.000
    0.318  -14.0942     0.119     0.619     0.000
    0.329  -14.0901     0.115     0.619     0.000
    0.340  -14.0854     0.118     0.623     0.000
