  #K-Path    Energy        Mo         S        Si
# Band-Index    1
    0.134   -5.0453     0.328     0.360     0.000
    0.115   -5.0329     0.365     0.334     0.000
    0.096   -5.0279     0.363     0.327     0.000
    0.077   -5.0245     0.328     0.347     0.000
    0.057   -5.0697     0.316     0.360     0.000
    0.038   -5.0655     0.335     0.342     0.000
    0.019   -5.0605     0.324     0.346     0.000
    0.000   -5.0571     0.316     0.355     0.000
 
# Band-Index  121
    0.000   -5.0564     0.318     0.353     0.000
    0.019   -5.0600     0.319     0.355     0.000
    0.038   -5.0650     0.329     0.350     0.000
    0.057   -5.0694     0.327     0.352     0.000
    0.077   -5.0240     0.343     0.341     0.000
    0.096   -5.0274     0.359     0.334     0.000
    0.115   -5.0324     0.361     0.334     0.003
    0.134   -5.0374     0.360     0.328     0.002
    0.153   -5.0410     0.356     0.326     0.013
    0.172   -5.0433     0.353     0.324     0.019
    0.191   -5.0429     0.334     0.306     0.036
    0.210   -5.0361     0.295     0.269     0.092
    0.230   -5.0562     0.283     0.372     0.000
    0.230   -5.0562     0.283     0.372     0.000
    0.241   -5.0561     0.282     0.372     0.000
    0.252   -5.0559     0.280     0.370     0.000
    0.263   -5.0572     0.305     0.310     0.053
    0.274   -5.0554     0.285     0.372     0.000
    0.285   -5.0550     0.284     0.373     0.000
    0.296   -5.0546     0.284     0.374     0.000
    0.307   -5.0553     0.285     0.371     0.000
    0.318   -5.0548     0.288     0.370     0.000
    0.329   -5.0543     0.287     0.373     0.000
    0.340   -5.0538     0.287     0.376     0.000
    0.351   -5.0535     0.295     0.371     0.000
    0.362   -5.0530     0.291     0.376     0.000
    0.362   -5.0530     0.291     0.376     0.000
    0.384   -5.0536     0.287     0.376     0.000
    0.406   -5.0546     0.295     0.375     0.000
    0.428   -5.0556     0.300     0.377     0.000
    0.450   -5.0623     0.297     0.375     0.000
    0.472   -5.0510     0.160     0.140     0.274
    0.495   -5.0255     0.312     0.358     0.000
    0.517   -5.0341     0.314     0.355     0.000
    0.539   -5.0363     0.345     0.341     0.000
    0.561   -5.0409     0.314     0.353     0.000
    0.583   -5.0535     0.315     0.355     0.000
    0.605   -5.0560     0.313     0.353     0.000
    0.627   -5.0564     0.318     0.353     0.000
 
# Band-Index  122
    0.627   -5.0493     0.318     0.350     0.000
    0.605   -5.0477     0.314     0.356     0.000
    0.583   -5.0452     0.310     0.362     0.000
    0.561   -5.0263     0.305     0.361     0.000
    0.539   -5.0347     0.312     0.358     0.000
    0.517   -5.0274     0.294     0.367     0.000
    0.495   -5.0183     0.288     0.370     0.000
    0.472   -5.0473     0.358     0.329     0.004
    0.450   -5.0599     0.356     0.328     0.005
    0.428   -5.0503     0.350     0.325     0.023
    0.406   -5.0531     0.337     0.308     0.036
    0.384   -5.0522     0.298     0.273     0.092
    0.362   -5.0526     0.186     0.174     0.233
    0.362   -5.0526     0.186     0.174     0.233
    0.351   -5.0522     0.256     0.230     0.152
    0.340   -5.0526     0.298     0.268     0.091
    0.329   -5.0530     0.295     0.342     0.021
    0.318   -5.0536     0.315     0.320     0.041
    0.307   -5.0541     0.318     0.332     0.023
    0.296   -5.0360     0.216     0.350     0.000
    0.285   -5.0300     0.286     0.372     0.000
    0.274   -5.0434     0.286     0.370     0.000
    0.263   -5.0562     0.286     0.371     0.000
    0.252   -5.0546     0.288     0.367     0.000
    0.241   -5.0366     0.292     0.372     0.000
    0.230   -5.0139     0.291     0.375     0.000
    0.230   -5.0139     0.291     0.375     0.000
    0.210   -5.0357     0.290     0.377     0.000
    0.191   -5.0425     0.296     0.374     0.000
    0.172   -5.0429     0.227     0.347     0.000
    0.153   -5.0406     0.307     0.371     0.000
    0.134   -5.0369     0.153     0.128     0.282
    0.115   -4.9958     0.315     0.359     0.000
    0.096   -5.0073     0.317     0.353     0.000
    0.077   -5.0177     0.323     0.353     0.000
    0.057   -5.0281     0.361     0.331     0.000
    0.038   -5.0369     0.317     0.354     0.000
    0.019   -5.0445     0.319     0.355     0.000
    0.000   -5.0493     0.318     0.350     0.000
 
# Band-Index  123
    0.000   -5.0488     0.318     0.353     0.000
    0.019   -5.0440     0.313     0.356     0.000
    0.038   -5.0365     0.311     0.359     0.000
    0.057   -5.0277     0.306     0.363     0.000
    0.077   -5.0171     0.314     0.358     0.000
    0.096   -5.0068     0.294     0.368     0.000
    0.115   -4.9954     0.288     0.368     0.000
    0.134   -4.9835     0.282     0.373     0.000
    0.153   -4.9705     0.277     0.374     0.000
    0.172   -4.9615     0.252     0.382     0.000
    0.191   -4.9553     0.250     0.384     0.000
    0.210   -4.9985     0.290     0.369     0.000
    0.230   -5.0131     0.185     0.172     0.239
    0.230   -5.0131     0.185     0.172     0.239
    0.241   -5.0361     0.254     0.227     0.152
    0.252   -5.0543     0.300     0.272     0.092
    0.263   -5.0556     0.288     0.369     0.002
    0.274   -5.0430     0.316     0.319     0.041
    0.285   -5.0296     0.322     0.332     0.021
    0.296   -5.0168     0.319     0.337     0.016
    0.307   -5.0038     0.318     0.342     0.016
    0.318   -4.9908     0.314     0.348     0.015
    0.329   -4.9778     0.311     0.353     0.011
    0.340   -4.9916     0.294     0.374     0.000
    0.351   -5.0224     0.288     0.375     0.000
    0.362   -5.0517     0.293     0.373     0.000
    0.362   -5.0517     0.293     0.373     0.000
    0.384   -4.9933     0.294     0.379     0.000
    0.406   -4.9746     0.274     0.325     0.062
    0.428   -5.0160     0.190     0.205     0.199
    0.450   -5.0185     0.252     0.346     0.000
    0.472   -5.0150     0.312     0.362     0.000
    0.495   -4.9824     0.327     0.349     0.001
    0.517   -4.9906     0.319     0.357     0.000
    0.539   -5.0005     0.293     0.366     0.000
    0.561   -5.0136     0.296     0.370     0.000
    0.583   -5.0254     0.299     0.360     0.000
    0.605   -5.0388     0.309     0.360     0.000
    0.627   -5.0488     0.318     0.353     0.000
 
# Band-Index  124
    0.627   -5.0482     0.319     0.353     0.000
    0.605   -5.0384     0.309     0.359     0.000
    0.583   -5.0250     0.301     0.366     0.000
    0.561   -5.0121     0.357     0.334     0.000
    0.539   -4.9994     0.312     0.366     0.000
    0.517   -4.9875     0.274     0.377     0.000
    0.495   -4.9791     0.268     0.380     0.000
    0.472   -5.0077     0.284     0.375     0.000
    0.450   -5.0022     0.279     0.381     0.000
    0.428   -4.9888     0.276     0.377     0.000
    0.406   -4.9737     0.284     0.366     0.000
    0.384   -4.9916     0.104     0.105     0.336
    0.362   -5.0514     0.197     0.182     0.221
    0.362   -5.0514     0.197     0.182     0.221
    0.351   -5.0221     0.139     0.134     0.292
    0.340   -4.9912     0.136     0.152     0.281
    0.329   -4.9775     0.235     0.347     0.000
    0.318   -4.9905     0.225     0.350     0.000
    0.307   -5.0035     0.220     0.347     0.000
    0.296   -5.0165     0.321     0.337     0.017
    0.285   -5.0109     0.320     0.341     0.016
    0.274   -4.9847     0.314     0.348     0.015
    0.263   -4.9579     0.311     0.352     0.010
    0.252   -4.9456     0.289     0.369     0.000
    0.241   -4.9799     0.290     0.376     0.000
    0.230   -5.0094     0.290     0.373     0.000
    0.230   -5.0094     0.290     0.373     0.000
    0.210   -4.9608     0.286     0.376     0.000
    0.191   -4.9458     0.304     0.359     0.003
    0.172   -4.9568     0.311     0.363     0.000
    0.153   -4.9701     0.309     0.361     0.000
    0.134   -4.9831     0.312     0.362     0.000
    0.115   -4.9833     0.299     0.349     0.000
    0.096   -4.9925     0.281     0.373     0.000
    0.077   -5.0072     0.284     0.371     0.000
    0.057   -5.0144     0.291     0.370     0.000
    0.038   -5.0262     0.300     0.364     0.000
    0.019   -5.0390     0.308     0.357     0.000
    0.000   -5.0482     0.319     0.353     0.000
 
# Band-Index  125
    0.000   -4.9990     0.350     0.338     0.000
    0.019   -5.0027     0.355     0.336     0.000
    0.038   -5.0086     0.360     0.334     0.000
    0.057   -5.0140     0.311     0.360     0.000
    0.077   -5.0054     0.318     0.367     0.000
    0.096   -4.9541     0.326     0.355     0.000
    0.115   -4.9430     0.099     0.094     0.335
    0.134   -4.9750     0.259     0.378     0.000
    0.153   -4.9679     0.253     0.383     0.000
    0.172   -4.9565     0.274     0.382     0.000
    0.191   -4.9426     0.269     0.380     0.000
    0.210   -4.9598     0.106     0.105     0.342
    0.230   -5.0087     0.196     0.184     0.222
    0.230   -5.0087     0.196     0.184     0.222
    0.241   -4.9791     0.140     0.132     0.297
    0.252   -4.9446     0.138     0.156     0.276
    0.263   -4.9403     0.259     0.383     0.000
    0.274   -4.9393     0.261     0.382     0.000
    0.285   -4.9381     0.260     0.382     0.000
    0.296   -4.9367     0.260     0.381     0.000
    0.307   -4.9351     0.260     0.377     0.000
    0.318   -4.9366     0.281     0.376     0.000
    0.329   -4.9615     0.291     0.369     0.000
    0.340   -4.9648     0.304     0.361     0.006
    0.351   -4.9525     0.301     0.359     0.001
    0.362   -4.9454     0.294     0.370     0.003
    0.362   -4.9454     0.294     0.370     0.003
    0.384   -4.9577     0.305     0.370     0.000
    0.406   -4.9672     0.309     0.368     0.000
    0.428   -4.9820     0.307     0.357     0.000
    0.450   -4.9955     0.310     0.360     0.000
    0.472   -4.9931     0.274     0.341     0.000
    0.495   -4.9756     0.270     0.373     0.000
    0.517   -4.9844     0.298     0.367     0.000
    0.539   -4.9931     0.333     0.344     0.000
    0.561   -5.0022     0.332     0.350     0.000
    0.583   -5.0153     0.359     0.333     0.000
    0.605   -5.0049     0.354     0.337     0.000
    0.627   -4.9990     0.350     0.338     0.000
 
# Band-Index  126
    0.627   -4.9967     0.351     0.340     0.001
    0.605   -5.0003     0.355     0.336     0.000
    0.583   -5.0003     0.356     0.334     0.000
    0.561   -4.9928     0.336     0.349     0.000
    0.539   -4.9863     0.288     0.377     0.000
    0.517   -4.9793     0.323     0.358     0.000
    0.495   -4.9739     0.317     0.345     0.000
    0.472   -4.9734     0.305     0.351     0.000
    0.450   -4.9645     0.292     0.356     0.000
    0.428   -4.9555     0.286     0.360     0.000
    0.406   -4.9466     0.267     0.386     0.000
    0.384   -4.9558     0.255     0.381     0.000
    0.362   -4.9442     0.256     0.378     0.000
    0.362   -4.9442     0.256     0.378     0.000
    0.351   -4.9523     0.258     0.374     0.000
    0.340   -4.9646     0.243     0.348     0.036
    0.329   -4.9610     0.259     0.383     0.000
    0.318   -4.9354     0.259     0.380     0.000
    0.307   -4.9349     0.259     0.380     0.000
    0.296   -4.9366     0.260     0.378     0.000
    0.285   -4.9380     0.261     0.378     0.000
    0.274   -4.9392     0.282     0.371     0.000
    0.263   -4.9401     0.296     0.373     0.000
    0.252   -4.9403     0.307     0.351     0.008
    0.241   -4.9412     0.303     0.362     0.001
    0.230   -4.9413     0.294     0.365     0.007
    0.230   -4.9413     0.294     0.365     0.007
    0.210   -4.9489     0.291     0.352     0.031
    0.191   -4.9423     0.313     0.362     0.000
    0.172   -4.9163     0.317     0.358     0.000
    0.153   -4.9142     0.326     0.358     0.000
    0.134   -4.9269     0.329     0.350     0.000
    0.115   -4.9394     0.278     0.380     0.000
    0.096   -4.9535     0.331     0.345     0.000
    0.077   -5.0012     0.345     0.343     0.000
    0.057   -5.0137     0.343     0.347     0.000
    0.038   -5.0079     0.354     0.333     0.000
    0.019   -5.0017     0.354     0.341     0.000
    0.000   -4.9967     0.351     0.340     0.001
 
# Band-Index  127
    0.000   -4.9958     0.357     0.339     0.000
    0.019   -4.9933     0.351     0.333     0.000
    0.038   -4.9875     0.349     0.338     0.000
    0.057   -4.9782     0.346     0.339     0.000
    0.077   -4.9658     0.337     0.348     0.000
    0.096   -4.9491     0.319     0.355     0.000
    0.115   -4.9385     0.299     0.330     0.032
    0.134   -4.9265     0.302     0.351     0.000
    0.153   -4.9138     0.290     0.356     0.000
    0.172   -4.9015     0.279     0.354     0.000
    0.191   -4.9118     0.280     0.369     0.000
    0.210   -4.9308     0.265     0.375     0.000
    0.230   -4.9411     0.259     0.377     0.000
    0.230   -4.9411     0.259     0.377     0.000
    0.241   -4.9410     0.257     0.377     0.000
    0.252   -4.9399     0.236     0.344     0.048
    0.263   -4.9188     0.245     0.359     0.038
    0.274   -4.9191     0.258     0.391     0.000
    0.285   -4.9205     0.268     0.387     0.000
    0.296   -4.9226     0.273     0.384     0.000
    0.307   -4.9258     0.280     0.376     0.000
    0.318   -4.9319     0.268     0.382     0.000
    0.329   -4.9307     0.263     0.381     0.000
    0.340   -4.9333     0.290     0.370     0.000
    0.351   -4.9375     0.292     0.375     0.001
    0.362   -4.9410     0.295     0.368     0.003
    0.362   -4.9410     0.295     0.368     0.003
    0.384   -4.9514     0.302     0.365     0.000
    0.406   -4.9404     0.285     0.369     0.000
    0.428   -4.9456     0.253     0.385     0.000
    0.450   -4.9547     0.255     0.384     0.000
    0.472   -4.9649     0.262     0.379     0.000
    0.495   -4.9663     0.324     0.343     0.009
    0.517   -4.9670     0.316     0.342     0.000
    0.539   -4.9659     0.325     0.347     0.000
    0.561   -4.9898     0.340     0.348     0.000
    0.583   -4.9943     0.351     0.340     0.000
    0.605   -4.9952     0.353     0.340     0.000
    0.627   -4.9958     0.357     0.339     0.000
 
# Band-Index  128
    0.627   -4.9958     0.352     0.336     0.000
    0.605   -4.9898     0.353     0.337     0.000
    0.583   -4.9788     0.348     0.342     0.000
    0.561   -4.9686     0.344     0.339     0.000
    0.539   -4.9424     0.338     0.344     0.000
    0.517   -4.9165     0.319     0.360     0.000
    0.495   -4.9507     0.327     0.352     0.000
    0.472   -4.9635     0.323     0.354     0.000
    0.450   -4.9539     0.295     0.353     0.000
    0.428   -4.9450     0.277     0.356     0.000
    0.406   -4.9372     0.122     0.130     0.303
    0.384   -4.9382     0.264     0.391     0.000
    0.362   -4.9325     0.258     0.388     0.000
    0.362   -4.9325     0.258     0.388     0.000
    0.351   -4.9293     0.260     0.389     0.000
    0.340   -4.9286     0.242     0.358     0.000
    0.329   -4.9305     0.255     0.372     0.022
    0.318   -4.9312     0.263     0.389     0.000
    0.307   -4.9220     0.256     0.392     0.000
    0.296   -4.9208     0.249     0.390     0.000
    0.285   -4.9195     0.252     0.393     0.000
    0.274   -4.9181     0.274     0.375     0.000
    0.263   -4.9172     0.261     0.380     0.000
    0.252   -4.9310     0.262     0.382     0.000
    0.241   -4.9164     0.288     0.371     0.000
    0.230   -4.9162     0.302     0.371     0.000
    0.230   -4.9162     0.302     0.371     0.000
    0.210   -4.9278     0.305     0.371     0.000
    0.191   -4.9001     0.252     0.386     0.000
    0.172   -4.9012     0.260     0.381     0.000
    0.153   -4.8953     0.263     0.387     0.000
    0.134   -4.9077     0.267     0.380     0.000
    0.115   -4.9281     0.084     0.080     0.363
    0.096   -4.9487     0.320     0.355     0.000
    0.077   -4.9645     0.328     0.344     0.000
    0.057   -4.9767     0.334     0.340     0.000
    0.038   -4.9861     0.344     0.338     0.000
    0.019   -4.9921     0.348     0.339     0.000
    0.000   -4.9958     0.352     0.336     0.000
 
# Band-Index  129
    0.000   -4.9860     0.354     0.338     0.000
    0.019   -4.9824     0.350     0.336     0.000
    0.038   -4.9752     0.343     0.338     0.000
    0.057   -4.9666     0.340     0.341     0.000
    0.077   -4.9567     0.335     0.344     0.000
    0.096   -4.9431     0.330     0.353     0.000
    0.115   -4.9269     0.325     0.349     0.002
    0.134   -4.9067     0.322     0.361     0.000
    0.153   -4.8855     0.313     0.362     0.000
    0.172   -4.8740     0.299     0.360     0.000
    0.191   -4.8986     0.123     0.133     0.298
    0.210   -4.9275     0.263     0.390     0.000
    0.230   -4.9155     0.261     0.391     0.000
    0.230   -4.9155     0.261     0.391     0.000
    0.241   -4.9158     0.262     0.393     0.000
    0.252   -4.9166     0.253     0.392     0.000
    0.263   -4.9135     0.198     0.273     0.136
    0.274   -4.9117     0.251     0.383     0.000
    0.285   -4.9128     0.254     0.387     0.000
    0.296   -4.9143     0.263     0.389     0.000
    0.307   -4.9183     0.283     0.375     0.000
    0.318   -4.9233     0.270     0.382     0.000
    0.329   -4.9290     0.285     0.377     0.000
    0.340   -4.9283     0.260     0.384     0.000
    0.351   -4.9273     0.277     0.376     0.000
    0.362   -4.9297     0.295     0.373     0.000
    0.362   -4.9297     0.295     0.373     0.000
    0.384   -4.9295     0.259     0.382     0.000
    0.406   -4.9369     0.262     0.377     0.000
    0.428   -4.9148     0.287     0.360     0.000
    0.450   -4.9340     0.280     0.297     0.082
    0.472   -4.9546     0.315     0.331     0.032
    0.495   -4.9461     0.081     0.077     0.364
    0.517   -4.9088     0.322     0.357     0.000
    0.539   -4.9348     0.332     0.350     0.000
    0.561   -4.9631     0.337     0.345     0.000
    0.583   -4.9742     0.342     0.340     0.000
    0.605   -4.9816     0.351     0.339     0.000
    0.627   -4.9860     0.354     0.338     0.000
 
# Band-Index  130
    0.627   -4.9860     0.352     0.338     0.000
    0.605   -4.9813     0.351     0.343     0.000
    0.583   -4.9710     0.347     0.340     0.000
    0.561   -4.9554     0.338     0.341     0.000
    0.539   -4.9087     0.336     0.343     0.000
    0.517   -4.8588     0.331     0.356     0.000
    0.495   -4.8855     0.309     0.370     0.000
    0.472   -4.8749     0.303     0.339     0.007
    0.450   -4.8970     0.313     0.362     0.000
    0.428   -4.9084     0.297     0.356     0.000
    0.406   -4.9364     0.267     0.359     0.000
    0.384   -4.9291     0.256     0.394     0.000
    0.362   -4.9270     0.261     0.384     0.000
    0.362   -4.9270     0.261     0.384     0.000
    0.351   -4.9252     0.259     0.390     0.000
    0.340   -4.9244     0.262     0.386     0.000
    0.329   -4.9239     0.185     0.243     0.169
    0.318   -4.9229     0.271     0.382     0.000
    0.307   -4.9153     0.275     0.384     0.000
    0.296   -4.9137     0.271     0.385     0.000
    0.285   -4.9116     0.254     0.394     0.000
    0.274   -4.9101     0.267     0.381     0.000
    0.263   -4.9104     0.251     0.385     0.000
    0.252   -4.9159     0.254     0.388     0.000
    0.241   -4.9085     0.290     0.374     0.000
    0.230   -4.9082     0.300     0.373     0.000
    0.230   -4.9082     0.300     0.373     0.000
    0.210   -4.8960     0.258     0.383     0.000
    0.191   -4.8901     0.284     0.369     0.000
    0.172   -4.8737     0.291     0.357     0.000
    0.153   -4.8844     0.298     0.347     0.002
    0.134   -4.8711     0.306     0.337     0.012
    0.115   -4.8974     0.315     0.361     0.000
    0.096   -4.9427     0.284     0.374     0.000
    0.077   -4.9563     0.320     0.375     0.000
    0.057   -4.9664     0.336     0.345     0.000
    0.038   -4.9750     0.346     0.342     0.000
    0.019   -4.9823     0.346     0.335     0.000
    0.000   -4.9860     0.352     0.338     0.000
 
# Band-Index  131
    0.000   -4.7793     0.240     0.408     0.000
    0.019   -4.7936     0.243     0.406     0.000
    0.038   -4.8083     0.248     0.403     0.000
    0.057   -4.8227     0.254     0.395     0.000
    0.077   -4.8361     0.260     0.389     0.000
    0.096   -4.8479     0.264     0.379     0.000
    0.115   -4.8972     0.310     0.377     0.000
    0.134   -4.8705     0.282     0.373     0.000
    0.153   -4.8728     0.289     0.369     0.000
    0.172   -4.8665     0.247     0.383     0.017
    0.191   -4.8897     0.264     0.358     0.000
    0.210   -4.8959     0.258     0.395     0.000
    0.230   -4.9080     0.261     0.392     0.000
    0.230   -4.9080     0.261     0.392     0.000
    0.241   -4.9081     0.265     0.387     0.000
    0.252   -4.9090     0.258     0.390     0.000
    0.263   -4.9083     0.229     0.318     0.084
    0.274   -4.8877     0.235     0.287     0.103
    0.285   -4.8939     0.288     0.361     0.000
    0.296   -4.9008     0.288     0.366     0.000
    0.307   -4.9101     0.281     0.365     0.000
    0.318   -4.9165     0.253     0.388     0.000
    0.329   -4.9190     0.291     0.375     0.000
    0.340   -4.9224     0.296     0.378     0.000
    0.351   -4.9245     0.262     0.381     0.000
    0.362   -4.9241     0.259     0.379     0.000
    0.362   -4.9241     0.259     0.379     0.000
    0.384   -4.9206     0.266     0.376     0.000
    0.406   -4.9057     0.285     0.371     0.000
    0.428   -4.8953     0.258     0.384     0.000
    0.450   -4.8908     0.292     0.352     0.002
    0.472   -4.8723     0.257     0.390     0.000
    0.495   -4.8780     0.314     0.364     0.000
    0.517   -4.8533     0.210     0.200     0.196
    0.539   -4.8465     0.266     0.374     0.000
    0.561   -4.8330     0.262     0.395     0.000
    0.583   -4.8163     0.254     0.395     0.000
    0.605   -4.7980     0.242     0.401     0.000
    0.627   -4.7793     0.240     0.408     0.000
 
# Band-Index  132
    0.627   -4.7793     0.238     0.414     0.000
    0.605   -4.7897     0.243     0.407     0.000
    0.583   -4.8024     0.248     0.401     0.000
    0.561   -4.8163     0.253     0.392     0.000
    0.539   -4.8307     0.259     0.387     0.000
    0.517   -4.8482     0.258     0.361     0.032
    0.495   -4.8627     0.276     0.377     0.000
    0.472   -4.8720     0.287     0.365     0.000
    0.450   -4.8844     0.289     0.369     0.000
    0.428   -4.8950     0.251     0.385     0.006
    0.406   -4.9050     0.244     0.380     0.022
    0.384   -4.9156     0.260     0.364     0.000
    0.362   -4.9236     0.255     0.363     0.000
    0.362   -4.9236     0.255     0.363     0.000
    0.351   -4.9238     0.248     0.361     0.000
    0.340   -4.9185     0.268     0.388     0.000
    0.329   -4.9174     0.193     0.265     0.150
    0.318   -4.9150     0.279     0.336     0.033
    0.307   -4.9083     0.288     0.363     0.000
    0.296   -4.9005     0.286     0.362     0.000
    0.285   -4.8937     0.285     0.368     0.000
    0.274   -4.8873     0.287     0.379     0.000
    0.263   -4.9069     0.254     0.385     0.000
    0.252   -4.9082     0.287     0.371     0.000
    0.241   -4.9037     0.269     0.377     0.000
    0.230   -4.8783     0.261     0.381     0.000
    0.230   -4.8783     0.261     0.381     0.000
    0.210   -4.8814     0.269     0.376     0.000
    0.191   -4.8794     0.259     0.383     0.000
    0.172   -4.8664     0.261     0.386     0.000
    0.153   -4.8725     0.258     0.388     0.000
    0.134   -4.8702     0.256     0.394     0.000
    0.115   -4.8564     0.296     0.361     0.000
    0.096   -4.8477     0.206     0.199     0.190
    0.077   -4.8359     0.250     0.401     0.000
    0.057   -4.8226     0.249     0.399     0.000
    0.038   -4.8082     0.248     0.404     0.000
    0.019   -4.7935     0.243     0.408     0.000
    0.000   -4.7793     0.238     0.414     0.000
 
# Band-Index  133
    0.000   -4.7791     0.238     0.412     0.000
    0.019   -4.7800     0.240     0.411     0.000
    0.038   -4.7840     0.239     0.412     0.000
    0.057   -4.7905     0.242     0.412     0.000
    0.077   -4.7993     0.243     0.408     0.000
    0.096   -4.8470     0.222     0.229     0.157
    0.115   -4.8562     0.275     0.382     0.000
    0.134   -4.8422     0.304     0.376     0.000
    0.153   -4.8507     0.249     0.398     0.000
    0.172   -4.8650     0.294     0.368     0.000
    0.191   -4.8793     0.244     0.380     0.023
    0.210   -4.8811     0.258     0.361     0.000
    0.230   -4.8781     0.251     0.364     0.000
    0.230   -4.8781     0.251     0.364     0.000
    0.241   -4.8657     0.314     0.342     0.006
    0.252   -4.8734     0.306     0.349     0.000
    0.263   -4.8806     0.302     0.353     0.000
    0.274   -4.8870     0.252     0.306     0.072
    0.285   -4.8799     0.244     0.316     0.090
    0.296   -4.8836     0.270     0.354     0.044
    0.307   -4.8913     0.287     0.358     0.020
    0.318   -4.9003     0.289     0.372     0.009
    0.329   -4.9096     0.294     0.372     0.000
    0.340   -4.9180     0.260     0.382     0.000
    0.351   -4.9208     0.291     0.369     0.000
    0.362   -4.9230     0.270     0.383     0.000
    0.362   -4.9230     0.270     0.383     0.000
    0.384   -4.9132     0.258     0.381     0.000
    0.406   -4.9047     0.258     0.384     0.000
    0.428   -4.8875     0.195     0.204     0.209
    0.450   -4.8840     0.257     0.387     0.000
    0.472   -4.8690     0.307     0.341     0.012
    0.495   -4.8589     0.254     0.389     0.000
    0.517   -4.8451     0.255     0.394     0.000
    0.539   -4.8303     0.250     0.394     0.000
    0.561   -4.8158     0.247     0.400     0.000
    0.583   -4.8019     0.245     0.405     0.000
    0.605   -4.7893     0.245     0.409     0.000
    0.627   -4.7791     0.238     0.412     0.000
 
# Band-Index  134
    0.627   -4.7789     0.238     0.412     0.000
    0.605   -4.7713     0.241     0.410     0.000
    0.583   -4.7671     0.240     0.409     0.000
    0.561   -4.7681     0.239     0.407     0.000
    0.539   -4.7991     0.239     0.408     0.000
    0.517   -4.8447     0.243     0.407     0.000
    0.495   -4.8585     0.301     0.307     0.042
    0.472   -4.8608     0.304     0.370     0.000
    0.450   -4.8509     0.245     0.397     0.000
    0.428   -4.8614     0.304     0.371     0.000
    0.406   -4.9030     0.304     0.354     0.000
    0.384   -4.9130     0.313     0.345     0.002
    0.362   -4.9178     0.318     0.337     0.007
    0.362   -4.9178     0.318     0.337     0.007
    0.351   -4.9182     0.313     0.339     0.007
    0.340   -4.9132     0.306     0.346     0.000
    0.329   -4.9061     0.301     0.349     0.000
    0.318   -4.8976     0.190     0.225     0.186
    0.307   -4.8863     0.238     0.307     0.096
    0.296   -4.8790     0.271     0.353     0.036
    0.285   -4.8763     0.282     0.363     0.028
    0.274   -4.8852     0.281     0.374     0.000
    0.263   -4.8804     0.276     0.378     0.000
    0.252   -4.8732     0.294     0.372     0.000
    0.241   -4.8655     0.254     0.383     0.000
    0.230   -4.8578     0.256     0.381     0.000
    0.230   -4.8578     0.256     0.381     0.000
    0.210   -4.8666     0.260     0.384     0.000
    0.191   -4.8721     0.282     0.374     0.000
    0.172   -4.8620     0.293     0.378     0.000
    0.153   -4.8507     0.319     0.334     0.004
    0.134   -4.8419     0.311     0.353     0.000
    0.115   -4.8394     0.253     0.390     0.000
    0.096   -4.8100     0.253     0.394     0.000
    0.077   -4.7993     0.332     0.300     0.034
    0.057   -4.7905     0.246     0.404     0.000
    0.038   -4.7840     0.236     0.415     0.000
    0.019   -4.7800     0.237     0.415     0.000
    0.000   -4.7789     0.238     0.412     0.000
 
# Band-Index  135
    0.000   -4.7786     0.237     0.415     0.000
    0.019   -4.7659     0.237     0.414     0.000
    0.038   -4.7545     0.235     0.415     0.000
    0.057   -4.7540     0.319     0.341     0.008
    0.077   -4.7938     0.338     0.300     0.032
    0.096   -4.8100     0.243     0.409     0.000
    0.115   -4.8224     0.244     0.403     0.000
    0.134   -4.8361     0.245     0.403     0.000
    0.153   -4.8141     0.317     0.285     0.064
    0.172   -4.8610     0.305     0.373     0.000
    0.191   -4.8718     0.304     0.352     0.000
    0.210   -4.8664     0.312     0.345     0.001
    0.230   -4.8574     0.318     0.338     0.010
    0.230   -4.8574     0.318     0.338     0.010
    0.241   -4.8536     0.259     0.367     0.000
    0.252   -4.8397     0.325     0.332     0.016
    0.263   -4.8351     0.326     0.353     0.000
    0.274   -4.8343     0.321     0.341     0.016
    0.285   -4.8280     0.325     0.306     0.036
    0.296   -4.8523     0.301     0.375     0.000
    0.307   -4.8799     0.295     0.378     0.000
    0.318   -4.8974     0.281     0.374     0.000
    0.329   -4.9058     0.272     0.381     0.000
    0.340   -4.9113     0.269     0.380     0.000
    0.351   -4.9155     0.264     0.380     0.000
    0.362   -4.9177     0.260     0.377     0.000
    0.362   -4.9177     0.260     0.377     0.000
    0.384   -4.9075     0.288     0.377     0.000
    0.406   -4.8816     0.282     0.382     0.000
    0.428   -4.8608     0.289     0.376     0.000
    0.450   -4.8330     0.261     0.398     0.000
    0.472   -4.8500     0.304     0.376     0.000
    0.495   -4.8446     0.298     0.314     0.042
    0.517   -4.8218     0.310     0.375     0.000
    0.539   -4.7935     0.334     0.307     0.032
    0.561   -4.7677     0.242     0.407     0.000
    0.583   -4.7666     0.236     0.413     0.000
    0.605   -4.7708     0.236     0.412     0.000
    0.627   -4.7786     0.237     0.415     0.000
 
# Band-Index  136
    0.627   -4.7784     0.240     0.414     0.000
    0.605   -4.7608     0.237     0.414     0.000
    0.583   -4.7442     0.232     0.421     0.000
    0.561   -4.7534     0.233     0.418     0.000
    0.539   -4.7704     0.230     0.398     0.026
    0.517   -4.7923     0.184     0.188     0.221
