    # Energy          Mo           S          Si           C           O
   -14.94752    -1.10881    -5.04909    -0.00029    -0.00002    -0.00004
   -14.94452    -1.16332    -5.29862    -0.00031    -0.00002    -0.00004
   -14.94152    -1.33383    -6.07840    -0.00035    -0.00002    -0.00005
   -14.93852    -1.52274    -6.94220    -0.00040    -0.00002    -0.00005
   -14.93552    -0.87418    -3.98784    -0.00023    -0.00001    -0.00003
   -14.93252    -0.90146    -4.11451    -0.00024    -0.00001    -0.00003
   -14.92952    -0.92875    -4.24123    -0.00024    -0.00001    -0.00003
   -14.92652    -0.73748    -3.37099    -0.00019    -0.00001    -0.00002
   -14.92352    -0.75885    -3.47013    -0.00020    -0.00001    -0.00002
   -14.92052    -0.78019    -3.56935    -0.00020    -0.00001    -0.00003
   -14.91752    -0.80153    -3.66857    -0.00021    -0.00001    -0.00003
   -14.91452    -0.81342    -3.72464    -0.00021    -0.00001    -0.00003
   -14.91152    -0.82131    -3.76221    -0.00022    -0.00001    -0.00003
   -14.90852    -0.82918    -3.79983    -0.00022    -0.00001    -0.00003
   -14.90552    -0.83707    -3.83746    -0.00022    -0.00001    -0.00003
   -14.90252    -0.78211    -3.58838    -0.00020    -0.00001    -0.00003
   -14.89952    -0.78217    -3.59054    -0.00020    -0.00001    -0.00003
   -14.89652    -0.78239    -3.59320    -0.00020    -0.00001    -0.00003
   -14.89352    -0.78257    -3.59588    -0.00020    -0.00001    -0.00003
   -14.89052    -0.78278    -3.59852    -0.00020    -0.00001    -0.00003
   -14.88752    -0.78296    -3.60114    -0.00020    -0.00001    -0.00003
   -14.88452    -0.79480    -3.65694    -0.00021    -0.00001    -0.00003
   -14.88152    -0.80758    -3.71716    -0.00021    -0.00001    -0.00003
   -14.87852    -0.82037    -3.77745    -0.00021    -0.00001    -0.00003
   -14.87552    -0.83337    -3.83860    -0.00022    -0.00001    -0.00003
   -14.87252    -0.84638    -3.89976    -0.00022    -0.00001    -0.00003
   -14.86952    -0.85939    -3.96093    -0.00022    -0.00001    -0.00003
   -14.86652    -0.87239    -4.02209    -0.00023    -0.00001    -0.00003
   -14.86352    -0.86515    -3.99176    -0.00023    -0.00001    -0.00003
   -14.86052    -0.95949    -4.43226    -0.00025    -0.00001    -0.00003
   -14.85752    -0.93868    -4.33817    -0.00024    -0.00001    -0.00003
   -14.85452    -0.91789    -4.24409    -0.00024    -0.00001    -0.00003
   -14.85152    -0.89855    -4.15681    -0.00023    -0.00001    -0.00003
   -14.84852    -0.88697    -4.10514    -0.00023    -0.00001    -0.00003
   -14.84552    -0.87537    -4.05342    -0.00023    -0.00001    -0.00003
   -14.84252    -0.86559    -4.01002    -0.00023    -0.00001    -0.00003
   -14.83952    -0.85733    -3.97367    -0.00022    -0.00001    -0.00003
   -14.83652    -0.85203    -3.95092    -0.00022    -0.00001    -0.00003
   -14.83352    -0.85482    -3.96593    -0.00022    -0.00001    -0.00003
   -14.83052    -0.85770    -3.98084    -0.00022    -0.00001    -0.00003
   -14.82752    -0.86057    -3.99579    -0.00022    -0.00001    -0.00003
   -14.82452    -0.86415    -4.01408    -0.00022    -0.00001    -0.00003
   -14.82152    -0.87336    -4.05914    -0.00023    -0.00001    -0.00003
   -14.81852    -0.88206    -4.10187    -0.00023    -0.00001    -0.00003
   -14.81552    -0.89063    -4.14415    -0.00023    -0.00001    -0.00003
   -14.81252    -0.89252    -4.15456    -0.00023    -0.00001    -0.00003
   -14.80952    -0.89445    -4.16492    -0.00023    -0.00001    -0.00003
   -14.80652    -0.89637    -4.17535    -0.00023    -0.00001    -0.00003
   -14.80352    -0.83801    -3.90631    -0.00022    -0.00001    -0.00003
   -14.80052    -0.83795    -3.90732    -0.00022    -0.00001    -0.00003
   -14.79752    -0.83784    -3.90830    -0.00022    -0.00001    -0.00003
   -14.79452    -0.83778    -3.90931    -0.00022    -0.00001    -0.00003
   -14.79152    -0.83771    -3.91030    -0.00022    -0.00001    -0.00003
   -14.78852    -0.84249    -3.93395    -0.00022    -0.00001    -0.00003
   -14.78552    -0.84948    -3.96803    -0.00022    -0.00001    -0.00003
   -14.78252    -0.85650    -4.00214    -0.00022    -0.00001    -0.00003
   -14.77952    -0.86348    -4.03631    -0.00022    -0.00001    -0.00003
   -14.77652    -2.04130    -9.55156    -0.00053    -0.00003    -0.00007
   -14.77352    -1.34218    -6.28324    -0.00035    -0.00002    -0.00004
   -14.77052    -1.21478    -5.68952    -0.00031    -0.00001    -0.00004
   -14.76752    -1.08742    -5.09561    -0.00028    -0.00001    -0.00003
   -14.76452    -1.01193    -4.74377    -0.00026    -0.00001    -0.00003
   -14.76152    -0.96435    -4.52279    -0.00025    -0.00001    -0.00003
   -14.75852    -0.91677    -4.30181    -0.00024    -0.00001    -0.00003
   -14.75552    -0.86918    -4.08073    -0.00022    -0.00001    -0.00003
   -14.75252    -0.83077    -3.90227    -0.00021    -0.00001    -0.00002
   -14.74952    -0.80200    -3.76839    -0.00021    -0.00001    -0.00002
   -14.74652    -0.77602    -3.64750    -0.00020    -0.00001    -0.00002
   -14.74352    -0.75002    -3.52657    -0.00019    -0.00001    -0.00002
   -14.74052    -0.72402    -3.40571    -0.00019    -0.00001    -0.00002
   -14.73752    -0.74233    -3.49450    -0.00019    -0.00001    -0.00002
   -14.73452    -0.72262    -3.40281    -0.00018    -0.00001    -0.00002
   -14.73152    -0.70298    -3.31111    -0.00018    -0.00001    -0.00002
   -14.72852    -0.67716    -3.19201    -0.00017    -0.00001    -0.00002
   -14.72552    -0.65662    -3.09682    -0.00017    -0.00001    -0.00002
   -14.72252    -0.63611    -3.00161    -0.00016    -0.00001    -0.00002
   -14.71952    -0.61558    -2.90640    -0.00016    -0.00001    -0.00002
   -14.71652    -0.59766    -2.82344    -0.00015    -0.00001    -0.00002
   -14.71352    -0.58564    -2.76793    -0.00015    -0.00001    -0.00002
   -14.71052    -0.57237    -2.70644    -0.00015    -0.00001    -0.00002
   -14.70752    -0.55907    -2.64489    -0.00014    -0.00001    -0.00002
   -14.70452    -0.54578    -2.58336    -0.00014    -0.00001    -0.00002
   -14.70152    -0.53249    -2.52183    -0.00014    -0.00001    -0.00002
   -14.69852    -0.51922    -2.46031    -0.00013    -0.00001    -0.00002
   -14.69552    -0.50852    -2.41107    -0.00013    -0.00001    -0.00002
   -14.69252    -0.49872    -2.36598    -0.00013    -0.00001    -0.00002
   -14.68952    -0.49440    -2.34676    -0.00013    -0.00001    -0.00002
   -14.68652    -0.49644    -2.35747    -0.00013    -0.00001    -0.00002
   -14.68352    -0.49848    -2.36822    -0.00013    -0.00001    -0.00002
   -14.68052    -2.04754    -9.73209    -0.00052    -0.00003    -0.00007
   -14.67752    -1.25102    -5.95078    -0.00032    -0.00002    -0.00005
   -14.67452    -1.18705    -5.64932    -0.00030    -0.00002    -0.00004
   -14.67152    -1.12313    -5.34736    -0.00028    -0.00002    -0.00004
   -14.66852    -1.09001    -5.19229    -0.00028    -0.00002    -0.00004
   -14.66552    -0.95716    -4.56250    -0.00024    -0.00001    -0.00004
   -14.66252    -0.95233    -4.54148    -0.00024    -0.00001    -0.00004
   -14.65952    -0.94753    -4.52041    -0.00024    -0.00001    -0.00004
   -14.65652    -0.95413    -4.55368    -0.00024    -0.00001    -0.00004
   -14.65352    -0.96881    -4.62543    -0.00024    -0.00001    -0.00004
   -14.65052    -0.98344    -4.69722    -0.00025    -0.00001    -0.00004
   -14.64752    -0.99813    -4.76898    -0.00025    -0.00001    -0.00004
   -14.64452    -1.01281    -4.84090    -0.00026    -0.00001    -0.00004
   -14.64152    -1.15781    -5.53686    -0.00029    -0.00002    -0.00004
   -14.63852    -1.16102    -5.55371    -0.00029    -0.00002    -0.00004
   -14.63552    -1.16425    -5.57115    -0.00029    -0.00002    -0.00004
   -14.63252    -1.22255    -5.85270    -0.00031    -0.00002    -0.00004
   -14.62952    -1.24029    -5.94041    -0.00031    -0.00002    -0.00004
   -14.62652    -1.25709    -6.02380    -0.00032    -0.00002    -0.00004
   -14.62352    -1.27392    -6.10718    -0.00032    -0.00002    -0.00004
   -14.62052    -1.19324    -5.72228    -0.00030    -0.00001    -0.00004
   -14.61752    -1.10281    -5.28992    -0.00028    -0.00001    -0.00003
   -14.61452    -1.01242    -4.85800    -0.00025    -0.00001    -0.00003
   -14.61152    -0.92204    -4.42603    -0.00023    -0.00001    -0.00003
   -14.60852    -0.83166    -3.99375    -0.00021    -0.00001    -0.00003
   -14.60552    -0.74130    -3.56147    -0.00019    -0.00001    -0.00002
   -14.60252    -0.65094    -3.12922    -0.00016    -0.00001    -0.00002
   -14.59952    -0.58291    -2.80391    -0.00015    -0.00001    -0.00002
   -14.59652    -0.61427    -2.95608    -0.00015    -0.00001    -0.00002
   -14.59352    -0.64564    -3.10829    -0.00016    -0.00001    -0.00002
   -14.59052    -0.67700    -3.26056    -0.00017    -0.00001    -0.00002
   -14.58752    -0.70835    -3.41283    -0.00018    -0.00001    -0.00002
   -14.58452    -0.73970    -3.56512    -0.00018    -0.00001    -0.00002
   -14.58152    -0.77103    -3.71744    -0.00019    -0.00001    -0.00002
   -14.57852    -0.80238    -3.86969    -0.00020    -0.00001    -0.00003
   -14.57552    -0.83816    -4.04443    -0.00021    -0.00001    -0.00003
   -14.57252    -0.75568    -3.65153    -0.00019    -0.00001    -0.00003
   -14.56952    -0.93965    -4.54490    -0.00023    -0.00001    -0.00003
   -14.56652    -0.88169    -4.26742    -0.00022    -0.00001    -0.00003
   -14.56352    -0.81715    -3.95746    -0.00020    -0.00001    -0.00003
   -14.56052    -0.75738    -3.66975    -0.00019    -0.00001    -0.00002
   -14.55752    -0.72310    -3.50540    -0.00018    -0.00001    -0.00002
   -14.55452    -0.68881    -3.34099    -0.00017    -0.00001    -0.00002
   -14.55152    -0.70384    -3.41517    -0.00017    -0.00001    -0.00002
   -14.54852    -0.73596    -3.57254    -0.00018    -0.00001    -0.00003
   -14.54552    -0.76812    -3.72991    -0.00019    -0.00001    -0.00003
   -14.54252    -0.80022    -3.88734    -0.00020    -0.00001    -0.00003
   -14.53952    -0.93710    -4.55403    -0.00023    -0.00001    -0.00003
   -14.53652    -0.95719    -4.65351    -0.00024    -0.00001    -0.00003
   -14.53352    -0.97184    -4.72645    -0.00024    -0.00001    -0.00003
   -14.53052    -0.98644    -4.79954    -0.00024    -0.00001    -0.00003
   -14.52752    -1.00104    -4.87258    -0.00025    -0.00001    -0.00003
   -14.52452    -1.01565    -4.94577    -0.00025    -0.00001    -0.00004
   -14.52152    -1.03027    -5.01853    -0.00025    -0.00001    -0.00004
   -14.51852    -0.90875    -4.43142    -0.00022    -0.00001    -0.00003
   -14.51552    -0.90784    -4.42824    -0.00022    -0.00001    -0.00003
   -14.51252    -0.90685    -4.42505    -0.00022    -0.00001    -0.00003
   -14.50952    -0.90802    -4.43233    -0.00022    -0.00001    -0.00003
   -14.50652    -0.90959    -4.44150    -0.00022    -0.00001    -0.00003
   -14.50352    -0.90905    -4.44046    -0.00022    -0.00001    -0.00003
   -14.50052    -0.90002    -4.39849    -0.00022    -0.00001    -0.00003
   -14.49752    -0.89271    -4.36482    -0.00022    -0.00001    -0.00003
   -14.49452    -0.88823    -4.34495    -0.00022    -0.00001    -0.00003
   -14.49152    -0.88316    -4.32229    -0.00022    -0.00001    -0.00003
   -14.48852    -0.87811    -4.29970    -0.00021    -0.00001    -0.00003
   -14.48552    -0.87304    -4.27708    -0.00021    -0.00001    -0.00003
   -14.48252    -0.86799    -4.25447    -0.00021    -0.00001    -0.00003
   -14.47952    -0.86292    -4.23185    -0.00021    -0.00001    -0.00003
   -14.47652    -0.85788    -4.20920    -0.00021    -0.00001    -0.00003
   -14.47352    -0.85672    -4.20548    -0.00021    -0.00001    -0.00003
   -14.47052    -0.86108    -4.22859    -0.00021    -0.00001    -0.00003
   -14.46752    -0.86614    -4.25487    -0.00021    -0.00001    -0.00003
