    # Energy          Mo           S          Si           C           O
   -14.91752     0.80139     3.66806     0.00021     0.00001     0.00003
   -14.91452     0.81340     3.72441     0.00021     0.00001     0.00003
   -14.91152     0.82129     3.76203     0.00022     0.00001     0.00003
   -14.90852     0.82913     3.79964     0.00022     0.00001     0.00003
   -14.90552     0.83703     3.83724     0.00022     0.00001     0.00003
   -14.90252     0.78211     3.58832     0.00020     0.00001     0.00003
   -14.89952     0.78217     3.59053     0.00020     0.00001     0.00003
   -14.89652     0.78237     3.59317     0.00020     0.00001     0.00003
   -14.89352     0.78258     3.59587     0.00020     0.00001     0.00003
   -14.89052     0.78277     3.59852     0.00020     0.00001     0.00003
   -14.88752     0.78297     3.60113     0.00020     0.00001     0.00003
   -14.88452     0.79474     3.65660     0.00021     0.00001     0.00003
   -14.88152     0.80751     3.71688     0.00021     0.00001     0.00003
   -14.87852     0.82034     3.77715     0.00021     0.00001     0.00003
   -14.87552     0.83334     3.83831     0.00022     0.00001     0.00003
   -14.87252     0.84634     3.89946     0.00022     0.00001     0.00003
   -14.86952     0.85931     3.96060     0.00022     0.00001     0.00003
   -14.86652     0.87229     4.02179     0.00023     0.00001     0.00003
   -14.86352     0.86525     3.99211     0.00023     0.00001     0.00003
   -14.86052     0.95965     4.43272     0.00025     0.00001     0.00003
   -14.85752     0.93881     4.33858     0.00024     0.00001     0.00003
   -14.85452     0.91797     4.24455     0.00024     0.00001     0.00003
   -14.85152     0.89860     4.15710     0.00023     0.00001     0.00003
   -14.84852     0.88704     4.10539     0.00023     0.00001     0.00003
   -14.84552     0.87542     4.05374     0.00023     0.00001     0.00003
   -14.84252     0.86565     4.01022     0.00023     0.00001     0.00003
   -14.83952     0.85739     3.97387     0.00022     0.00001     0.00003
   -14.83652     0.85200     3.95086     0.00022     0.00001     0.00003
   -14.83352     0.85482     3.96586     0.00022     0.00001     0.00003
   -14.83052     0.85769     3.98077     0.00022     0.00001     0.00003
   -14.82752     0.86054     3.99573     0.00022     0.00001     0.00003
   -14.82452     0.86408     4.01382     0.00022     0.00001     0.00003
   -14.82152     0.87330     4.05894     0.00023     0.00001     0.00003
   -14.81852     0.88203     4.10169     0.00023     0.00001     0.00003
   -14.81552     0.89062     4.14409     0.00023     0.00001     0.00003
   -14.81252     0.89252     4.15452     0.00023     0.00001     0.00003
   -14.80952     0.89446     4.16493     0.00023     0.00001     0.00003
   -14.80652     0.89636     4.17531     0.00023     0.00001     0.00003
   -14.80352     0.83802     3.90630     0.00022     0.00001     0.00003
   -14.80052     0.83794     3.90733     0.00022     0.00001     0.00003
   -14.79752     0.83786     3.90829     0.00022     0.00001     0.00003
   -14.79452     0.83779     3.90932     0.00022     0.00001     0.00003
   -14.79152     0.83770     3.91032     0.00022     0.00001     0.00003
   -14.78852     0.84244     3.93375     0.00022     0.00001     0.00003
   -14.78552     0.84943     3.96787     0.00022     0.00001     0.00003
   -14.78252     0.85647     4.00200     0.00022     0.00001     0.00003
   -14.77952     0.86345     4.03611     0.00022     0.00001     0.00003
   -14.77652     2.04631     9.57446     0.00053     0.00003     0.00007
   -14.77352     1.34278     6.28549     0.00035     0.00002     0.00004
   -14.77052     1.21543     5.69203     0.00031     0.00001     0.00004
   -14.76752     1.08807     5.09831     0.00028     0.00001     0.00003
   -14.76452     1.01216     4.74502     0.00026     0.00001     0.00003
   -14.76152     0.96456     4.52393     0.00025     0.00001     0.00003
   -14.75852     0.91698     4.30285     0.00024     0.00001     0.00003
   -14.75552     0.86939     4.08183     0.00022     0.00001     0.00003
   -14.75252     0.83095     3.90300     0.00021     0.00001     0.00002
