  #K-Path    Energy        Mo         S        Si         C         O
# Band-Index    1
    0.340  -15.0273     0.128     0.575     0.000     0.000     0.000
    0.351  -15.0210     0.131     0.578     0.000     0.000     0.000
    0.362  -15.0162     0.128     0.575     0.000     0.000     0.000
    0.362  -15.0162     0.128     0.575     0.000     0.000     0.000
    0.384  -15.0384     0.126     0.579     0.000     0.000     0.000
    0.406  -15.0649     0.128     0.574     0.000     0.000     0.000
    0.428  -15.0894     0.129     0.574     0.000     0.000     0.000
    0.450  -15.1114     0.128     0.570     0.000     0.000     0.000
    0.472  -15.1310     0.128     0.571     0.000     0.000     0.000
    0.495  -15.1480     0.127     0.568     0.000     0.000     0.000
    0.517  -15.1625     0.127     0.570     0.000     0.000     0.000
    0.539  -15.1744     0.127     0.569     0.000     0.000     0.000
    0.561  -15.1837     0.127     0.569     0.000     0.000     0.000
    0.583  -15.1903     0.127     0.569     0.000     0.000     0.000
    0.605  -15.1943     0.127     0.569     0.000     0.000     0.000
    0.627  -15.1957     0.127     0.569     0.000     0.000     0.000
 
# Band-Index    4
    0.627  -14.6681     0.122     0.592     0.000     0.000     0.000
    0.605  -14.7040     0.123     0.588     0.000     0.000     0.000
    0.583  -14.7424     0.124     0.589     0.000     0.000     0.000
    0.561  -14.7790     0.125     0.584     0.000     0.000     0.000
    0.539  -14.8136     0.125     0.587     0.000     0.000     0.000
    0.517  -14.8462     0.124     0.584     0.000     0.000     0.000
    0.495  -14.8767     0.123     0.579     0.000     0.000     0.000
    0.472  -14.9050     0.123     0.578     0.000     0.000     0.000
    0.450  -14.9309     0.123     0.578     0.000     0.000     0.000
    0.428  -14.9546     0.123     0.575     0.000     0.000     0.000
    0.406  -14.9758     0.127     0.580     0.000     0.000     0.000
    0.384  -14.9944     0.126     0.575     0.000     0.000     0.000
    0.362  -15.0058     0.128     0.570     0.000     0.000     0.000
    0.362  -15.0058     0.128     0.570     0.000     0.000     0.000
    0.351  -15.0110     0.128     0.570     0.000     0.000     0.000
    0.340  -15.0176     0.128     0.570     0.000     0.000     0.000
    0.329  -15.0237     0.128     0.571     0.000     0.000     0.000
    0.318  -15.0291     0.128     0.571     0.000     0.000     0.000
    0.307  -15.0339     0.128     0.572     0.000     0.000     0.000
    0.296  -15.0380     0.128     0.573     0.000     0.000     0.000
    0.285  -15.0416     0.128     0.575     0.000     0.000     0.000
    0.274  -15.0445     0.128     0.575     0.000     0.000     0.000
    0.263  -15.0467     0.129     0.573     0.000     0.000     0.000
    0.252  -15.0483     0.129     0.572     0.000     0.000     0.000
    0.241  -15.0493     0.128     0.573     0.000     0.000     0.000
    0.230  -15.0496     0.129     0.575     0.000     0.000     0.000
    0.230  -15.0496     0.129     0.575     0.000     0.000     0.000
    0.210  -15.0298     0.127     0.577     0.000     0.000     0.000
    0.191  -15.0042     0.125     0.574     0.000     0.000     0.000
    0.172  -14.9768     0.127     0.585     0.000     0.000     0.000
    0.153  -14.9476     0.129     0.582     0.000     0.000     0.000
    0.134  -14.9169     0.129     0.582     0.000     0.000     0.000
    0.115  -14.8845     0.127     0.583     0.000     0.000     0.000
    0.096  -14.8506     0.125     0.583     0.000     0.000     0.000
    0.077  -14.8153     0.125     0.587     0.000     0.000     0.000
    0.057  -14.7785     0.125     0.586     0.000     0.000     0.000
    0.038  -14.7406     0.126     0.590     0.000     0.000     0.000
    0.019  -14.7018     0.125     0.591     0.000     0.000     0.000
    0.000  -14.6681     0.122     0.592     0.000     0.000     0.000
 
# Band-Index    5
    0.000  -14.6649     0.121     0.587     0.000     0.000     0.000
    0.019  -14.6806     0.121     0.590     0.000     0.000     0.000
    0.038  -14.6986     0.122     0.589     0.000     0.000     0.000
    0.057  -14.7151     0.124     0.590     0.000     0.000     0.000
