    # Energy          Mo          Au           S          Si           C           O
   -14.72682     0.76679     0.00690     5.06971     0.12752     0.00000     0.00001
   -14.72382     0.74388     0.00664     4.92057     0.12379     0.00000     0.00001
   -14.72082     0.72103     0.00638     4.77161     0.12005     0.00000     0.00001
   -14.71782     0.69811     0.00612     4.62267     0.11631     0.00000     0.00001
   -14.71482     0.67524     0.00586     4.47379     0.11257     0.00000     0.00001
   -14.71182     0.65238     0.00561     4.32480     0.10882     0.00000     0.00001
   -14.70882     0.63963     0.00545     4.24443     0.10691     0.00000     0.00001
   -14.70582     0.64970     0.00547     4.31808     0.10904     0.00000     0.00001
   -14.70282     0.65294     0.00544     4.34499     0.10989     0.00000     0.00001
   -14.69982     0.64923     0.00537     4.32308     0.10942     0.00000     0.00001
   -14.69682     0.63959     0.00523     4.26698     0.10834     0.00000     0.00001
   -14.69382     0.62759     0.00510     4.19512     0.10683     0.00000     0.00001
   -14.69082     0.62277     0.00512     4.17520     0.10686     0.00000     0.00001
   -14.68782     0.62437     0.00522     4.20547     0.10850     0.00000     0.00001
   -14.68482     0.64006     0.00545     4.31676     0.11159     0.00000     0.00001
   -14.68182     0.65570     0.00567     4.42814     0.11468     0.00000     0.00001
   -14.67882     0.67140     0.00589     4.53967     0.11777     0.00000     0.00001
   -14.67582     0.68708     0.00611     4.65118     0.12087     0.00000     0.00001
   -14.67282     0.70271     0.00632     4.76297     0.12397     0.00000     0.00001
   -14.66982     0.74292     0.00667     5.04175     0.13147     0.00000     0.00001
   -14.66682     0.79925     0.00712     5.43120     0.14191     0.00000     0.00001
   -14.66382     0.78878     0.00708     5.36070     0.13991     0.00000     0.00001
   -14.66082     0.84975     0.00759     5.78319     0.15134     0.00000     0.00001
   -14.65782     0.81869     0.01625     5.51687     0.14180     0.00000     0.00001
   -14.65482     0.88406     0.01678     5.97382     0.15427     0.00000     0.00001
   -14.65182     0.91919     0.01734     6.23934     0.16230     0.00000     0.00001
   -14.64882     0.97333     0.01756     6.61524     0.17243     0.00000     0.00001
   -14.64582     1.01036     0.01754     6.87315     0.17936     0.00000     0.00001
   -14.64282     1.04736     0.01760     7.13248     0.18640     0.00000     0.00001
   -14.63982     1.08855     0.01791     7.41916     0.19406     0.00000     0.00001
   -14.63682     1.13634     0.01829     7.75038     0.20291     0.00000     0.00001
   -14.63382     1.22021     0.01903     8.32754     0.21817     0.00000     0.00001
   -14.63082     1.30409     0.01973     8.90533     0.23340     0.00000     0.00001
   -14.62782     1.38798     0.02040     9.48224     0.24860     0.00000     0.00001
   -14.62482     1.47189     0.02105    10.05955     0.26377     0.00000     0.00001
   -14.62182     1.55581     0.02167    10.63646     0.27889     0.00000     0.00001
   -14.61882     1.68839     0.02267    11.56683     0.30420     0.00000     0.00001
   -14.61582     1.36087     0.01950     9.37842     0.24941     0.00000     0.00001
   -14.61282     0.66179     0.01356     4.47341     0.11493     0.00000     0.00000
   -14.60982     0.49023     0.01225     3.30439     0.08435     0.00000     0.00000
   -14.60682     0.44267     0.01149     2.97283     0.07528     0.00000     0.00000
   -14.60382     0.40333     0.01083     2.70199     0.06798     0.00000     0.00000
   -14.60082     0.22035     0.00920     1.43644     0.03384     0.00000     0.00000
   -14.59782     0.22434     0.00922     1.46346     0.03449     0.00000     0.00000
   -14.59482     0.22833     0.00925     1.49042     0.03514     0.00000     0.00000
   -14.59182     0.23232     0.00927     1.51743     0.03580     0.00000     0.00000
   -14.58882     0.23632     0.00930     1.54456     0.03645     0.00000     0.00000
   -14.58582     0.24031     0.00932     1.57158     0.03711     0.00000     0.00000
   -14.58282     0.24430     0.00934     1.59862     0.03776     0.00000     0.00000
   -14.57982     0.24829     0.00935     1.62569     0.03842     0.00000     0.00000
   -14.57682     0.39907     0.01037     2.68378     0.06690     0.00000     0.00000
   -14.57382     0.67078     0.01311     4.62944     0.12194     0.00000     0.00001
   -14.57082     0.66892     0.01282     4.61494     0.12122     0.00000     0.00001
   -14.56782     0.78492     0.01334     5.43532     0.14356     0.00000     0.00001
   -14.56482     1.43985     0.01966    10.03504     0.26649     0.00000     0.00001
