    # Energy          Mo          Au           S          Si           C           O
   -14.76282    -0.78075    -0.00748    -5.04808    -0.12228    -0.00000    -0.00001
   -14.75982    -0.79550    -0.00766    -5.15332    -0.12527    -0.00000    -0.00001
   -14.75682    -0.84785    -0.00820    -5.50662    -0.13454    -0.00000    -0.00001
   -14.75382    -0.93854    -0.00920    -6.12647    -0.15128    -0.00000    -0.00001
   -14.75082    -1.17092    -0.01188    -7.68070    -0.19191    -0.00000    -0.00001
   -14.74782    -1.16684    -0.01201    -7.66228    -0.19210    -0.00000    -0.00001
   -14.74482    -1.04245    -0.01037    -6.84711    -0.17137    -0.00000    -0.00001
   -14.74182    -0.92385    -0.00884    -6.07301    -0.15181    -0.00000    -0.00001
   -14.73882    -0.88865    -0.00835    -5.84788    -0.14628    -0.00000    -0.00001
   -14.73582    -0.85770    -0.00793    -5.64983    -0.14140    -0.00000    -0.00001
   -14.73282    -0.83228    -0.00761    -5.48556    -0.13735    -0.00000    -0.00001
   -14.72982    -0.79052    -0.00716    -5.22370    -0.13136    -0.00000    -0.00001
   -14.72682    -0.76758    -0.00690    -5.07466    -0.12764    -0.00000    -0.00001
   -14.72382    -0.74467    -0.00664    -4.92570    -0.12391    -0.00000    -0.00001
   -14.72082    -0.72178    -0.00638    -4.77662    -0.12018    -0.00000    -0.00001
   -14.71782    -0.69889    -0.00612    -4.62758    -0.11644    -0.00000    -0.00001
   -14.71482    -0.67598    -0.00587    -4.47869    -0.11269    -0.00000    -0.00001
   -14.71182    -0.65314    -0.00561    -4.32952    -0.10894    -0.00000    -0.00001
   -14.70882    -0.63934    -0.00544    -4.24185    -0.10684    -0.00000    -0.00001
   -14.70582    -0.64938    -0.00546    -4.31584    -0.10898    -0.00000    -0.00001
   -14.70282    -0.65307    -0.00543    -4.34550    -0.10991    -0.00000    -0.00001
   -14.69982    -0.64935    -0.00536    -4.32385    -0.10944    -0.00000    -0.00001
   -14.69682    -0.64020    -0.00523    -4.27026    -0.10840    -0.00000    -0.00001
   -14.69382    -0.62799    -0.00510    -4.19718    -0.10688    -0.00000    -0.00001
   -14.69082    -0.62264    -0.00511    -4.17388    -0.10680    -0.00000    -0.00001
   -14.68782    -0.62385    -0.00520    -4.20162    -0.10840    -0.00000    -0.00001
   -14.68482    -0.63955    -0.00543    -4.31286    -0.11149    -0.00000    -0.00001
   -14.68182    -0.65519    -0.00566    -4.42465    -0.11458    -0.00000    -0.00001
   -14.67882    -0.67087    -0.00588    -4.53588    -0.11768    -0.00000    -0.00001
   -14.67582    -0.68655    -0.00609    -4.64746    -0.12078    -0.00000    -0.00001
   -14.67282    -0.70220    -0.00631    -4.75891    -0.12387    -0.00000    -0.00001
   -14.66982    -0.74115    -0.00665    -5.02945    -0.13114    -0.00000    -0.00001
   -14.66682    -0.79748    -0.00710    -5.41929    -0.14159    -0.00000    -0.00001
   -14.66382    -0.78686    -0.00705    -5.34733    -0.13957    -0.00000    -0.00001
   -14.66082    -0.84786    -0.00756    -5.77013    -0.15100    -0.00000    -0.00001
   -14.65782    -0.81697    -0.01622    -5.50458    -0.14148    -0.00000    -0.00001
   -14.65482    -0.88196    -0.01676    -5.95882    -0.15387    -0.00000    -0.00001
   -14.65182    -0.97832    -0.01762    -6.63609    -0.17252    -0.00000    -0.00001
   -14.64882    -0.97217    -0.01755    -6.60716    -0.17222    -0.00000    -0.00001
   -14.64582    -1.00918    -0.01752    -6.86531    -0.17916    -0.00000    -0.00001
   -14.64282    -1.04621    -0.01758    -7.12437    -0.18617    -0.00000    -0.00001
   -14.63982    -1.08720    -0.01788    -7.40949    -0.19382    -0.00000    -0.00001
   -14.63682    -1.13359    -0.01826    -7.73151    -0.20242    -0.00000    -0.00001
   -14.63382    -1.21750    -0.01898    -8.30869    -0.21768    -0.00000    -0.00001
   -14.63082    -1.30140    -0.01968    -8.88595    -0.23291    -0.00000    -0.00001
