  #K-Path    Energy        Mo        Au         S        Si         C         O
# Band-Index    1
    0.209  -15.2294     0.100     0.001     0.567     0.011     0.000     0.000
    0.228  -15.2334     0.101     0.001     0.568     0.011     0.000     0.000
    0.228  -15.2334     0.101     0.001     0.568     0.011     0.000     0.000
    0.239  -15.2333     0.101     0.001     0.567     0.011     0.000     0.000
    0.250  -15.2328     0.101     0.001     0.571     0.011     0.000     0.000
    0.261  -15.2320     0.101     0.001     0.573     0.011     0.000     0.000
    0.272  -15.2310     0.101     0.001     0.566     0.011     0.000     0.000
    0.283  -15.2298     0.100     0.001     0.571     0.011     0.000     0.000
    0.294  -15.2284     0.098     0.000     0.569     0.011     0.000     0.000
    0.305  -15.2270     0.100     0.000     0.571     0.011     0.000     0.000
    0.316  -15.2258     0.100     0.000     0.566     0.010     0.000     0.000
    0.327  -15.2247     0.100     0.000     0.566     0.010     0.000     0.000
    0.338  -15.2240     0.100     0.000     0.570     0.009     0.000     0.000
    0.349  -15.2236     0.103     0.000     0.570     0.011     0.000     0.000
    0.360  -15.2233     0.104     0.000     0.569     0.012     0.000     0.000
    0.360  -15.2233     0.104     0.000     0.569     0.012     0.000     0.000
    0.382  -15.2208     0.101     0.000     0.567     0.010     0.000     0.000
    0.404  -15.2147     0.101     0.000     0.577     0.011     0.000     0.000
    0.426  -15.2036     0.097     0.000     0.570     0.011     0.000     0.000
    0.449  -15.1880     0.098     0.000     0.572     0.011     0.000     0.000
    0.471  -15.1688     0.098     0.000     0.572     0.011     0.000     0.000
    0.493  -15.1466     0.097     0.000     0.577     0.011     0.000     0.000
    0.515  -15.1219     0.095     0.000     0.573     0.012     0.000     0.000
    0.537  -15.0952     0.096     0.000     0.577     0.014     0.000     0.000
    0.559  -15.0671     0.094     0.000     0.579     0.014     0.000     0.000
    0.581  -15.0383     0.092     0.000     0.583     0.013     0.000     0.000
    0.603  -15.0117     0.090     0.000     0.582     0.014     0.000     0.000
    0.625  -14.9994     0.088     0.000     0.585     0.017     0.000     0.000
 
# Band-Index    4
    0.625  -14.9814     0.096     0.001     0.584     0.011     0.000     0.000
    0.603  -14.9912     0.094     0.000     0.583     0.013     0.000     0.000
    0.581  -15.0028     0.094     0.000     0.583     0.012     0.000     0.000
    0.559  -15.0174     0.093     0.000     0.584     0.013     0.000     0.000
    0.537  -15.0347     0.095     0.000     0.583     0.013     0.000     0.000
    0.515  -15.0534     0.093     0.000     0.583     0.011     0.000     0.000
    0.493  -15.0725     0.094     0.000     0.585     0.011     0.000     0.000
    0.471  -15.0911     0.095     0.000     0.579     0.012     0.000     0.000
    0.449  -15.1085     0.095     0.000     0.581     0.012     0.000     0.000
    0.426  -15.1240     0.096     0.000     0.579     0.012     0.000     0.000
    0.404  -15.1366     0.098     0.000     0.581     0.012     0.000     0.000
    0.382  -15.1449     0.098     0.000     0.583     0.012     0.000     0.000
    0.360  -15.1469     0.098     0.000     0.582     0.012     0.000     0.000
    0.360  -15.1469     0.098     0.000     0.582     0.012     0.000     0.000
    0.349  -15.1452     0.096     0.001     0.578     0.012     0.000     0.000
    0.338  -15.1412     0.097     0.001     0.577     0.012     0.000     0.000
    0.327  -15.1351     0.096     0.001     0.580     0.012     0.000     0.000
    0.316  -15.1269     0.096     0.001     0.576     0.011     0.000     0.000
    0.305  -15.1170     0.097     0.002     0.577     0.011     0.000     0.000
    0.294  -15.1057     0.096     0.002     0.574     0.011     0.000     0.000
    0.283  -15.0933     0.096     0.002     0.573     0.012     0.000     0.000
    0.272  -15.0801     0.096     0.002     0.574     0.013     0.000     0.000
    0.261  -15.0665     0.097     0.002     0.572     0.013     0.000     0.000
    0.250  -15.0531     0.097     0.002     0.572     0.012     0.000     0.000
    0.239  -15.0417     0.097     0.002     0.571     0.011     0.000     0.000
    0.228  -15.0366     0.096     0.002     0.570     0.011     0.000     0.000
    0.228  -15.0366     0.096     0.002     0.570     0.011     0.000     0.000
    0.209  -15.0359     0.099     0.002     0.569     0.012     0.000     0.000
