    # Energy          Mo          Au           S          Si           C           O
   -14.76270    -0.78774    -0.00755    -5.09780    -0.12362    -0.00000    -0.00000
   -14.75970    -0.80259    -0.00773    -5.20289    -0.12661    -0.00000    -0.00000
   -14.75670    -0.89416    -0.00864    -5.81546    -0.14240    -0.00000    -0.00000
   -14.75370    -1.00377    -0.00996    -6.57016    -0.16319    -0.00000    -0.00000
   -14.75070    -1.28442    -0.01311    -8.43361    -0.21118    -0.00000    -0.00000
   -14.74770    -1.11170    -0.01126    -7.30187    -0.18283    -0.00000    -0.00000
   -14.74470    -0.99921    -0.00979    -6.56506    -0.16416    -0.00000    -0.00000
   -14.74170    -0.91392    -0.00868    -6.01037    -0.15022    -0.00000    -0.00000
   -14.73870    -0.87832    -0.00819    -5.78274    -0.14463    -0.00000    -0.00000
   -14.73570    -0.84964    -0.00782    -5.59834    -0.14008    -0.00000    -0.00000
   -14.73270    -0.80553    -0.00732    -5.32170    -0.13376    -0.00000    -0.00000
   -14.72970    -0.78203    -0.00705    -5.16893    -0.12994    -0.00000    -0.00000
   -14.72670    -0.75856    -0.00678    -5.01609    -0.12612    -0.00000    -0.00000
   -14.72370    -0.73509    -0.00652    -4.86332    -0.12229    -0.00000    -0.00000
   -14.72070    -0.71166    -0.00625    -4.71061    -0.11845    -0.00000    -0.00000
   -14.71770    -0.68821    -0.00599    -4.55797    -0.11462    -0.00000    -0.00000
   -14.71470    -0.66474    -0.00573    -4.40490    -0.11077    -0.00000    -0.00000
   -14.71170    -0.64168    -0.00547    -4.25445    -0.10698    -0.00000    -0.00000
   -14.70870    -0.64621    -0.00545    -4.29113    -0.10816    -0.00000    -0.00000
   -14.70570    -0.65529    -0.00546    -4.35802    -0.11010    -0.00000    -0.00000
   -14.70270    -0.65152    -0.00539    -4.33625    -0.10962    -0.00000    -0.00000
   -14.69970    -0.64778    -0.00532    -4.31406    -0.10914    -0.00000    -0.00000
   -14.69670    -0.63339    -0.00514    -4.23015    -0.10752    -0.00000    -0.00000
   -14.69370    -0.62196    -0.00504    -4.15883    -0.10591    -0.00000    -0.00000
   -14.69070    -0.62554    -0.00519    -4.20007    -0.10771    -0.00000    -0.00000
   -14.68770    -0.63097    -0.00530    -4.25191    -0.10972    -0.00000    -0.00000
   -14.68470    -0.64632    -0.00552    -4.36112    -0.11275    -0.00000    -0.00000
   -14.68170    -0.66170    -0.00573    -4.47039    -0.11579    -0.00000    -0.00000
   -14.67870    -0.67703    -0.00595    -4.57973    -0.11882    -0.00000    -0.00000
   -14.67570    -0.69240    -0.00616    -4.68895    -0.12186    -0.00000    -0.00000
   -14.67270    -0.70771    -0.00636    -4.79845    -0.12489    -0.00000    -0.00000
   -14.66970    -0.76275    -0.00679    -5.17841    -0.13507    -0.00000    -0.00000
   -14.66670    -0.81862    -0.00723    -5.56535    -0.14546    -0.00000    -0.00000
   -14.66370    -0.81028    -0.00721    -5.50944    -0.14389    -0.00000    -0.00000
   -14.66070    -0.87078    -0.00771    -5.92935    -0.15527    -0.00000    -0.00000
   -14.65770    -0.84459    -0.01642    -5.69752    -0.14665    -0.00000    -0.00000
   -14.65470    -0.91136    -0.01697    -6.16430    -0.15941    -0.00000    -0.00000
   -14.65170    -0.94679    -0.01750    -6.43106    -0.16742    -0.00000    -0.00000
   -14.64870    -0.98928    -0.01748    -6.72513    -0.17527    -0.00000    -0.00000
   -14.64570    -1.02665    -0.01751    -6.98643    -0.18233    -0.00000    -0.00000
   -14.64270    -1.06496    -0.01763    -7.25403    -0.18956    -0.00000    -0.00000
   -14.63970    -1.10685    -0.01797    -7.54502    -0.19735    -0.00000    -0.00000
   -14.63670    -1.16987    -0.01850    -7.98021    -0.20888    -0.00000    -0.00000
   -14.63370    -1.25452    -0.01922    -8.56256    -0.22427    -0.00000    -0.00000
   -14.63070    -1.33921    -0.01991    -9.14529    -0.23961    -0.00000    -0.00000
   -14.62770    -1.42393    -0.02058    -9.72774    -0.25491    -0.00000    -0.00000
   -14.62470    -1.50862    -0.02122   -10.31041    -0.27022    -0.00000    -0.00000
   -14.62170    -1.59336    -0.02183   -10.89286    -0.28545    -0.00000    -0.00000
   -14.61870    -1.60934    -0.02159   -11.04068    -0.29105    -0.00000    -0.00000
   -14.61570    -0.83147    -0.01473    -5.63033    -0.14514    -0.00000    -0.00000
   -14.61270    -0.58084    -0.01288    -3.91554    -0.10008    -0.00000    -0.00000
   -14.60970    -0.46485    -0.01187    -3.12487    -0.07934    -0.00000    -0.00000
   -14.60670    -0.42508    -0.01120    -2.85020    -0.07193    -0.00000    -0.00000
   -14.60370    -0.38693    -0.01062    -2.58781    -0.06487    -0.00000    -0.00000
   -14.60070    -0.22158    -0.00917    -1.44425    -0.03399    -0.00000    -0.00000
   -14.59770    -0.22558    -0.00920    -1.47130    -0.03464    -0.00000    -0.00000
   -14.59470    -0.22958    -0.00923    -1.49826    -0.03529    -0.00000    -0.00000
   -14.59170    -0.23357    -0.00925    -1.52535    -0.03594    -0.00000    -0.00000
   -14.58870    -0.23755    -0.00927    -1.55233    -0.03660    -0.00000    -0.00000
   -14.58570    -0.24153    -0.00929    -1.57936    -0.03725    -0.00000    -0.00000
   -14.58270    -0.24552    -0.00931    -1.60638    -0.03791    -0.00000    -0.00000
   -14.57970    -0.36594    -0.01007    -2.45343    -0.06085    -0.00000    -0.00000
   -14.57670    -0.40867    -0.01039    -2.75129    -0.06865    -0.00000    -0.00000
   -14.57370    -0.66279    -0.01286    -4.57191    -0.12006    -0.00000    -0.00000
   -14.57070    -0.66545    -0.01265    -4.59007    -0.12030    -0.00000    -0.00000
   -14.56770    -0.86819    -0.01390    -6.02214    -0.15930    -0.00000    -0.00000
   -14.56470    -1.49275    -0.02021   -10.40942    -0.27659    -0.00000    -0.00000
   -14.56170    -1.60225    -0.02158   -11.17841    -0.29738    -0.00000    -0.00000
   -14.55870    -2.22713    -0.02886   -15.45354    -0.40823    -0.00000    -0.00000
   -14.55570    -2.17947    -0.02991   -15.09591    -0.39722    -0.00000    -0.00000
   -14.55270    -1.95445    -0.02742   -13.54187    -0.35615    -0.00000    -0.00000
   -14.54970    -1.74252    -0.02394   -12.09338    -0.31882    -0.00000    -0.00000
   -14.54670    -1.53029    -0.02035   -10.64548    -0.28165    -0.00000    -0.00000
   -14.54370    -1.31789    -0.01667    -9.19760    -0.24462    -0.00000    -0.00000
   -14.54070    -1.16264    -0.01385    -8.14051    -0.21767    -0.00000    -0.00000
   -14.53770    -1.03749    -0.01179    -7.28279    -0.19555    -0.00000    -0.00000
   -14.53470    -0.91240    -0.00976    -6.42483    -0.17337    -0.00000    -0.00000
   -14.53170    -0.72475    -0.00687    -5.12992    -0.13969    -0.00000    -0.00000
   -14.52870    -0.65960    -0.00526    -4.69811    -0.12906    -0.00000    -0.00000
   -14.52570    -0.75829    -0.00469    -5.43578    -0.15033    -0.00000    -0.00000
   -14.52270    -0.57046    -0.00325    -4.11500    -0.11510    -0.00000    -0.00000
   -14.51970    -0.46518    -0.00285    -3.36373    -0.09460    -0.00000    -0.00000
   -14.51670    -0.56714    -0.00381    -4.08148    -0.11362    -0.00000    -0.00000
   -14.51370    -0.58425    -0.00406    -4.20086    -0.11670    -0.00000    -0.00000
   -14.51070    -0.60139    -0.00431    -4.32051    -0.11978    -0.00000    -0.00000
   -14.50770    -0.61861    -0.00457    -4.43973    -0.12283    -0.00000    -0.00000
   -14.50470    -0.63580    -0.00483    -4.55896    -0.12589    -0.00000    -0.00000
   -14.50170    -0.65302    -0.00510    -4.67822    -0.12893    -0.00000    -0.00000
   -14.49870    -0.67380    -0.00547    -4.82386    -0.13272    -0.00000    -0.00000
   -14.49570    -0.69341    -0.00586    -4.96332    -0.13642    -0.00000    -0.00000
   -14.49270    -0.70072    -0.00612    -5.02198    -0.13826    -0.00000    -0.00000
   -14.48970    -0.72671    -0.00665    -5.20682    -0.14319    -0.00000    -0.00000
   -14.48670    -0.79235    -0.00762    -5.66645    -0.15529    -0.00000    -0.00000
   -14.48370    -0.86390    -0.00872    -6.16775    -0.16847    -0.00000    -0.00000
   -14.48070    -0.91208    -0.00948    -6.50712    -0.17742    -0.00000    -0.00000
   -14.47770    -0.94750    -0.00998    -6.76968    -0.18495    -0.00000    -0.00000
