    # Energy          Mo          Au           S          Si           C           O
   -14.72670     0.75810     0.00678     5.01319     0.12604     0.00000     0.00000
   -14.72370     0.73463     0.00652     4.86026     0.12221     0.00000     0.00000
   -14.72070     0.71119     0.00625     4.70773     0.11838     0.00000     0.00000
   -14.71770     0.68775     0.00599     4.55507     0.11454     0.00000     0.00000
   -14.71470     0.66431     0.00573     4.40223     0.11070     0.00000     0.00000
   -14.71170     0.64166     0.00547     4.25440     0.10699     0.00000     0.00000
   -14.70870     0.64642     0.00546     4.29268     0.10820     0.00000     0.00000
   -14.70570     0.65519     0.00546     4.35743     0.11010     0.00000     0.00000
   -14.70270     0.65144     0.00539     4.33579     0.10961     0.00000     0.00000
   -14.69970     0.64770     0.00533     4.31361     0.10913     0.00000     0.00000
   -14.69670     0.63315     0.00514     4.22859     0.10749     0.00000     0.00000
   -14.69370     0.62183     0.00504     4.15863     0.10591     0.00000     0.00000
   -14.69070     0.62563     0.00519     4.20088     0.10775     0.00000     0.00000
   -14.68770     0.63128     0.00531     4.25415     0.10977     0.00000     0.00000
   -14.68470     0.64661     0.00553     4.36319     0.11281     0.00000     0.00000
   -14.68170     0.66201     0.00574     4.47271     0.11584     0.00000     0.00000
   -14.67870     0.67734     0.00596     4.58177     0.11888     0.00000     0.00000
   -14.67570     0.69271     0.00617     4.69116     0.12191     0.00000     0.00000
   -14.67270     0.70806     0.00637     4.80039     0.12496     0.00000     0.00000
   -14.66970     0.76380     0.00680     5.18580     0.13525     0.00000     0.00000
   -14.66670     0.81965     0.00724     5.57266     0.14565     0.00000     0.00000
   -14.66370     0.81143     0.00722     5.51782     0.14412     0.00000     0.00000
   -14.66070     0.87192     0.00772     5.93775     0.15550     0.00000     0.00000
   -14.65770     0.84585     0.01644     5.70650     0.14689     0.00000     0.00000
   -14.65470     0.91412     0.01700     6.18394     0.15995     0.00000     0.00000
   -14.65170     0.94805     0.01752     6.43959     0.16765     0.00000     0.00000
   -14.64870     0.99001     0.01749     6.73022     0.17540     0.00000     0.00000
   -14.64570     1.02734     0.01752     6.99122     0.18246     0.00000     0.00000
   -14.64270     1.06577     0.01765     7.25982     0.18972     0.00000     0.00000
   -14.63970     1.10765     0.01799     7.55060     0.19749     0.00000     0.00000
   -14.63670     1.17150     0.01853     7.99170     0.20918     0.00000     0.00000
   -14.63370     1.25616     0.01925     8.57398     0.22456     0.00000     0.00000
   -14.63070     1.34085     0.01994     9.15655     0.23990     0.00000     0.00000
   -14.62770     1.42552     0.02060     9.73880     0.25521     0.00000     0.00000
