  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.625  -14.9811     0.097     0.001     0.585     0.011
 
# Band-Index    4
    0.625  -14.9600     0.088     0.000     0.585     0.014
    0.603  -14.9468     0.090     0.000     0.583     0.014
    0.581  -14.9343     0.093     0.001     0.587     0.011
    0.559  -14.9253     0.093     0.001     0.582     0.012
    0.537  -14.9161     0.093     0.001     0.583     0.013
    0.515  -14.9056     0.092     0.002     0.581     0.011
    0.493  -14.8935     0.091     0.002     0.579     0.011
    0.471  -14.8798     0.093     0.002     0.584     0.011
    0.449  -14.8643     0.092     0.002     0.583     0.011
    0.426  -14.8471     0.092     0.002     0.579     0.011
    0.404  -14.8284     0.092     0.003     0.577     0.011
    0.382  -14.8084     0.093     0.003     0.576     0.011
    0.360  -14.7913     0.094     0.003     0.575     0.011
    0.360  -14.7913     0.094     0.003     0.575     0.011
    0.349  -14.8023     0.092     0.002     0.579     0.011
    0.338  -14.8193     0.095     0.002     0.579     0.010
    0.327  -14.8379     0.092     0.002     0.582     0.012
    0.316  -14.8571     0.091     0.002     0.580     0.012
    0.305  -14.8765     0.092     0.001     0.587     0.011
    0.294  -14.8957     0.092     0.001     0.586     0.011
    0.283  -14.9146     0.092     0.001     0.587     0.012
    0.272  -14.9330     0.093     0.001     0.589     0.012
    0.261  -14.9506     0.090     0.001     0.586     0.013
    0.250  -14.9667     0.091     0.001     0.588     0.012
    0.239  -14.9797     0.090     0.001     0.591     0.011
    0.228  -14.9854     0.093     0.001     0.591     0.012
    0.228  -14.9854     0.093     0.001     0.591     0.012
    0.209  -14.9847     0.093     0.001     0.590     0.012
    0.190  -14.9826     0.091     0.001     0.587     0.011
    0.171  -14.9793     0.092     0.001     0.590     0.011
    0.152  -14.9747     0.093     0.001     0.587     0.011
    0.133  -14.9691     0.092     0.001     0.590     0.011
    0.114  -14.9627     0.092     0.001     0.586     0.011
    0.095  -14.9561     0.094     0.001     0.586     0.011
    0.076  -14.9499     0.097     0.001     0.586     0.012
    0.057  -14.9454     0.093     0.001     0.584     0.012
    0.038  -14.9454     0.094     0.000     0.581     0.013
    0.019  -14.9535     0.094     0.000     0.586     0.013
    0.000  -14.9600     0.088     0.000     0.585     0.014
 
# Band-Index    5
    0.000  -14.9202     0.094     0.001     0.583     0.011
    0.019  -14.9175     0.094     0.001     0.583     0.012
    0.038  -14.9059     0.094     0.001     0.582     0.013
    0.057  -14.8850     0.090     0.001     0.588     0.014
    0.076  -14.8600     0.090     0.001     0.591     0.014
    0.095  -14.8335     0.088     0.001     0.590     0.014
    0.114  -14.8061     0.090     0.001     0.594     0.015
    0.133  -14.7781     0.087     0.001     0.598     0.013
    0.152  -14.7495     0.089     0.001     0.595     0.013
    0.171  -14.7205     0.089     0.001     0.597     0.014
    0.190  -14.6912     0.087     0.001     0.598     0.014
    0.209  -14.6619     0.088     0.000     0.603     0.015
    0.228  -14.6382     0.084     0.000     0.596     0.014
    0.228  -14.6382     0.084     0.000     0.596     0.014
    0.239  -14.6438     0.085     0.000     0.601     0.015
    0.250  -14.6549     0.089     0.000     0.599     0.015
    0.261  -14.6675     0.092     0.000     0.600     0.014
    0.272  -14.6805     0.090     0.000     0.597     0.014
    0.283  -14.6935     0.091     0.000     0.593     0.014
    0.294  -14.7064     0.089     0.000     0.595     0.012
    0.305  -14.7192     0.090     0.000     0.595     0.012
    0.316  -14.7317     0.090     0.000     0.596     0.012
    0.327  -14.7438     0.089     0.000     0.590     0.012
    0.338  -14.7555     0.091     0.000     0.593     0.013
    0.349  -14.7662     0.092     0.000     0.593     0.014
    0.360  -14.7733     0.085     0.001     0.593     0.015
    0.360  -14.7733     0.085     0.001     0.593     0.015
    0.382  -14.7684     0.090     0.001     0.593     0.012
    0.404  -14.7794     0.088     0.001     0.592     0.013
    0.426  -14.7938     0.091     0.002     0.591     0.012
    0.449  -14.8081     0.092     0.002     0.590     0.013
    0.471  -14.8216     0.092     0.002     0.588     0.013
    0.493  -14.8341     0.092     0.001     0.590     0.012
    0.515  -14.8463     0.092     0.001     0.585     0.011
    0.537  -14.8593     0.092     0.001     0.588     0.011
    0.559  -14.8755     0.091     0.001     0.588     0.013
    0.581  -14.8957     0.094     0.001     0.584     0.012
    0.603  -14.9138     0.093     0.001     0.583     0.012
    0.625  -14.9202     0.094     0.001     0.583     0.011
 
# Band-Index    6
    0.625  -14.8162     0.100     0.000     0.586     0.009
    0.603  -14.8144     0.099     0.000     0.584     0.009
    0.581  -14.8076     0.098     0.000     0.586     0.009
    0.559  -14.7926     0.100     0.001     0.587     0.011
    0.537  -14.7680     0.096     0.001     0.589     0.011
    0.515  -14.7360     0.094     0.001     0.588     0.012
    0.493  -14.6999     0.092     0.001     0.589     0.013
    0.471  -14.6617     0.091     0.001     0.594     0.014
    0.449  -14.6239     0.091     0.001     0.598     0.014
    0.426  -14.6300     0.090     0.001     0.596     0.014
    0.404  -14.6694     0.088     0.001     0.596     0.013
    0.382  -14.7050     0.086     0.000     0.601     0.012
    0.360  -14.7191     0.091     0.001     0.604     0.015
    0.360  -14.7191     0.091     0.001     0.604     0.015
    0.349  -14.7150     0.086     0.001     0.601     0.014
    0.338  -14.7078     0.090     0.001     0.604     0.013
    0.327  -14.6992     0.090     0.001     0.598     0.014
    0.316  -14.6898     0.089     0.001     0.599     0.016
    0.305  -14.6799     0.090     0.001     0.598     0.016
    0.294  -14.6699     0.090     0.001     0.592     0.015
    0.283  -14.6598     0.088     0.001     0.599     0.016
    0.272  -14.6500     0.090     0.001     0.598     0.016
    0.261  -14.6408     0.089     0.001     0.596     0.016
    0.250  -14.6327     0.088     0.002     0.594     0.014
    0.239  -14.6271     0.088     0.002     0.596     0.013
    0.228  -14.6252     0.087     0.002     0.593     0.015
    0.228  -14.6252     0.087     0.002     0.593     0.015
    0.209  -14.6230     0.087     0.001     0.598     0.017
    0.190  -14.6454     0.087     0.001     0.601     0.015
    0.171  -14.6701     0.083     0.001     0.599     0.016
    0.152  -14.6947     0.084     0.001     0.602     0.016
    0.133  -14.7186     0.087     0.001     0.602     0.014
    0.114  -14.7411     0.089     0.001     0.596     0.015
    0.095  -14.7619     0.089     0.001     0.597     0.014
    0.076  -14.7802     0.091     0.001     0.591     0.011
    0.057  -14.7955     0.096     0.001     0.590     0.013
    0.038  -14.8069     0.097     0.001     0.589     0.010
    0.019  -14.8139     0.102     0.000     0.587     0.009
    0.000  -14.8162     0.100     0.000     0.586     0.009
 
# Band-Index    7
    0.000  -14.6868     0.090     0.006     0.581     0.011
    0.019  -14.6829     0.089     0.006     0.583     0.012
    0.038  -14.6718     0.091     0.005     0.584     0.012
    0.057  -14.6547     0.091     0.005     0.589     0.012
    0.076  -14.6330     0.094     0.004     0.590     0.013
    0.095  -14.6082     0.091     0.004     0.588     0.012
    0.114  -14.5819     0.091     0.003     0.593     0.013
    0.133  -14.5561     0.091     0.002     0.595     0.014
    0.152  -14.5357     0.089     0.001     0.601     0.015
    0.171  -14.5402     0.084     0.001     0.611     0.016
    0.190  -14.5692     0.086     0.001     0.610     0.014
    0.209  -14.5982     0.087     0.001     0.605     0.014
    0.228  -14.6073     0.087     0.001     0.601     0.015
    0.228  -14.6073     0.087     0.001     0.601     0.015
    0.239  -14.6021     0.084     0.001     0.602     0.014
    0.250  -14.5912     0.085     0.000     0.603     0.014
    0.261  -14.5786     0.085     0.000     0.600     0.015
