    # Energy          Mo          Au           S          Si
   -14.63109     1.31642     0.01978     8.98632     0.23531
   -14.62809     1.40105     0.02045     9.56843     0.25060
   -14.62509     1.48574     0.02110    10.15082     0.26588
   -14.62209     1.57038     0.02172    10.73276     0.28110
   -14.61909     1.69932     0.02263    11.64962     0.30661
   -14.61609     0.90797     0.01532     6.15393     0.15886
   -14.61309     0.62978     0.01321     4.24583     0.10853
   -14.61009     0.47571     0.01205     3.20030     0.08138
   -14.60709     0.43383     0.01136     2.91015     0.07352
   -14.60409     0.39612     0.01074     2.65099     0.06655
   -14.60109     0.22061     0.00918     1.43771     0.03381
   -14.59809     0.22460     0.00921     1.46447     0.03446
   -14.59509     0.22859     0.00923     1.49142     0.03511
   -14.59209     0.23256     0.00926     1.51832     0.03576
   -14.58909     0.23654     0.00928     1.54524     0.03641
   -14.58609     0.24051     0.00930     1.57217     0.03706
   -14.58309     0.24449     0.00932     1.59909     0.03772
   -14.58009     0.36037     0.01005     2.41400     0.05975
   -14.57709     0.40236     0.01037     2.70648     0.06740
   -14.57409     0.66238     0.01294     4.56859     0.11998
   -14.57109     0.66499     0.01272     4.58633     0.12018
   -14.56809     0.80549     0.01347     5.57934     0.14726
   -14.56509     1.47029     0.01997    10.24930     0.27211
   -14.56209     1.57814     0.02136    11.00652     0.29251
   -14.55909     1.98282     0.02608    13.77820     0.36452
   -14.55609     2.25026     0.03052    15.58452     0.41003
   -14.55309     2.00819     0.02833    13.90602     0.36539
   -14.55009     1.79476     0.02484    12.44809     0.32778
   -14.54709     1.58109     0.02124    10.98974     0.29036
   -14.54409     1.36723     0.01753     9.53199     0.25306
   -14.54109     1.19142     0.01435     8.33583     0.22259
   -14.53809     1.06629     0.01229     7.47883     0.20048
   -14.53509     0.94123     0.01025     6.62107     0.17834
   -14.53209     0.77112     0.00758     5.44926     0.14792
   -14.52909     0.60164     0.00515     4.27462     0.11709
   -14.52609     0.81133     0.00524     5.80475     0.15997
   -14.52309     0.62573     0.00355     4.50579     0.12559
   -14.52009     0.48727     0.00296     3.52181     0.09891
   -14.51709     0.46004     0.00286     3.32534     0.09345
   -14.51409     0.58116     0.00402     4.17825     0.11606
   -14.51109     0.59824     0.00427     4.29734     0.11912
   -14.50809     0.61536     0.00453     4.41611     0.12219
   -14.50509     0.63250     0.00479     4.53530     0.12522
   -14.50209     0.64966     0.00506     4.65410     0.12825
   -14.49909     0.66915     0.00539     4.79018     0.13175
   -14.49609     0.69166     0.00582     4.94808     0.13589
   -14.49309     0.69912     0.00609     5.00723     0.13772
   -14.49009     0.71886     0.00652     5.14987     0.14161
   -14.48709     0.77376     0.00738     5.53484     0.15174
   -14.48409     0.84603     0.00848     6.04056     0.16501
   -14.48109     0.91229     0.00951     6.50566     0.17726
   -14.47809     0.91768     0.00962     6.54981     0.17860
   -14.47509     1.03072     0.01116     7.37737     0.20214
   -14.47209     1.19785     0.01286     8.58522     0.23595
   -14.46909     1.29348     0.01413     9.27179     0.25468
   -14.46609     1.38920     0.01548     9.95904     0.27335
   -14.46309     1.62354     0.01860    11.64737     0.31985
   -14.46009     1.57178     0.01764    11.31443     0.31268
   -14.45709     1.07401     0.00991     7.76141     0.21605
   -14.45409     0.87109     0.00628     6.31697     0.17697
   -14.45109     0.73066     0.00497     5.31433     0.14972
   -14.44809     0.59056     0.00377     4.31113     0.12228
   -14.44509     0.80909     0.00385     5.93522     0.16968
   -14.44209     0.23349     0.00196     1.71977     0.04966
   -14.43909     0.22911     0.00189     1.68984     0.04891
   -14.43609     0.22473     0.00182     1.66008     0.04816
   -14.43309     0.22035     0.00175     1.63016     0.04740
   -14.43009     0.21598     0.00168     1.60041     0.04664
   -14.42709     0.21162     0.00162     1.57050     0.04588
   -14.42409     0.22693     0.00173     1.69077     0.04950
   -14.42109     0.25315     0.00195     1.89421     0.05554
   -14.41809     0.27432     0.00204     2.06471     0.06085
   -14.41509     0.29908     0.00224     2.25823     0.06666
   -14.41209     0.32660     0.00252     2.46937     0.07284
   -14.40909     0.35416     0.00281     2.68060     0.07900
   -14.40609     0.43066     0.00452     3.25224     0.09481
   -14.40309     0.92498     0.01786     6.92521     0.19556
   -14.40009     1.50472     0.03115    11.23762     0.31460
   -14.39709     1.71995     0.03418    12.84617     0.35984
   -14.39409     1.83543     0.03509    13.71347     0.38442
   -14.39109     1.94996     0.03572    14.58114     0.40946
   -14.38809     2.10138     0.03845    15.68958     0.43904
   -14.38509     2.08486     0.03681    15.57056     0.43566
   -14.38209     2.06368     0.03501    15.40867     0.43107
   -14.37909     1.98988     0.03280    14.85418     0.41519
   -14.37609     1.53900     0.02759    11.47336     0.31944
   -14.37309     1.25201     0.02271     9.37047     0.26300
   -14.37009     0.92066     0.01630     6.96130     0.20003
   -14.36709     0.68947     0.01065     5.29298     0.15688
   -14.36409     0.60977     0.00888     4.70302     0.14073
   -14.36109     0.54685     0.00754     4.23585     0.12781
   -14.35809     0.51041     0.00686     3.96176     0.12000
   -14.35509     0.47931     0.00628     3.72846     0.11345
   -14.35209     0.46249     0.00592     3.60739     0.11029
   -14.34909     0.65001     0.00870     5.03242     0.15073
   -14.34609     0.88133     0.01210     6.78984     0.20045
   -14.34309     1.18831     0.01460     9.10196     0.26406
   -14.34009     1.55190     0.01825    11.87781     0.34283
   -14.33709     1.52640     0.01996    11.58519     0.32867
   -14.33409     2.04570     0.02920    15.37071     0.42552
   -14.33109     1.10350     0.01411     8.51663     0.25042
   -14.32809     1.07712     0.01322     8.34952     0.24743
   -14.32509     1.07100     0.01276     8.32689     0.24799
   -14.32209     0.92331     0.01210     7.19166     0.21214
   -14.31909     0.91760     0.01175     7.16628     0.21218
   -14.31609     0.99835     0.01294     7.79939     0.23050
   -14.31309     1.00816     0.01288     7.89251     0.23371
   -14.31009     1.00914     0.01274     7.91856     0.23486
   -14.30709     1.13609     0.01604     8.90759     0.26340
   -14.30409     1.13376     0.01544     8.92482     0.26458
   -14.30109     1.13143     0.01489     8.94116     0.26567
   -14.29809     1.12909     0.01437     8.95778     0.26667
   -14.29509     1.04543     0.01225     8.38066     0.25229
   -14.29209     1.02841     0.01145     8.29214     0.25055
   -14.28909     1.02135     0.01086     8.28453     0.25099
   -14.28609     1.14047     0.01132     9.30380     0.28293
   -14.28309     1.62445     0.01519    13.40617     0.40693
   -14.28009     2.38377     0.03221    20.07952     0.57133
   -14.27709     1.70919     0.03456    14.78093     0.38457
   -14.27409     1.22045     0.02303    10.54329     0.27679
   -14.27109     0.89588     0.02039     7.59762     0.19530
   -14.26809     0.77829     0.02018     6.33461     0.16614
   -14.26509     1.42727     0.03628    11.45495     0.30134
   -14.26209     2.16282     0.05687    17.46947     0.45669
   -14.25909     2.81687     0.06881    23.18669     0.54931
   -14.25609     4.38169     0.09994    36.59785     0.82840
   -14.25309     6.44194     0.13686    54.82257     1.16933
   -14.25009     4.59540     0.09506    38.97585     0.81833
   -14.24709     1.68339     0.03411    14.12981     0.30571
   -14.24409     0.38053     0.00261     3.15530     0.08758
   -14.24109     0.53843     0.00585     4.24226     0.10076
   -14.23809     2.46948     0.02932    20.34513     0.40816
   -14.23509     5.01971     0.06361    41.61323     0.86902
   -14.23209     2.45388     0.03386    20.08565     0.45523
   -14.22909     1.94916     0.03040    15.94656     0.37943
   -14.22609     1.41982     0.02268    11.58158     0.29367
