  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.625  -14.9811     0.096     0.001     0.585     0.011
 
# Band-Index    4
    0.625  -14.9599     0.088     0.000     0.585     0.014
    0.603  -14.9467     0.090     0.000     0.583     0.014
    0.581  -14.9342     0.093     0.001     0.587     0.011
    0.559  -14.9252     0.093     0.001     0.581     0.012
    0.537  -14.9160     0.093     0.001     0.583     0.013
    0.515  -14.9055     0.092     0.002     0.581     0.011
    0.493  -14.8934     0.091     0.002     0.579     0.011
    0.471  -14.8797     0.093     0.002     0.584     0.011
    0.449  -14.8642     0.092     0.002     0.583     0.011
    0.426  -14.8470     0.092     0.002     0.579     0.011
    0.404  -14.8283     0.092     0.003     0.577     0.011
    0.382  -14.8083     0.093     0.003     0.576     0.011
    0.360  -14.7913     0.094     0.003     0.575     0.011
    0.360  -14.7913     0.094     0.003     0.575     0.011
    0.349  -14.8022     0.092     0.002     0.579     0.011
    0.338  -14.8192     0.095     0.002     0.579     0.010
    0.327  -14.8378     0.092     0.002     0.583     0.012
    0.316  -14.8570     0.091     0.002     0.580     0.012
    0.305  -14.8764     0.092     0.001     0.587     0.011
    0.294  -14.8956     0.092     0.001     0.586     0.011
    0.283  -14.9145     0.092     0.001     0.586     0.012
    0.272  -14.9329     0.093     0.001     0.589     0.012
    0.261  -14.9505     0.089     0.001     0.585     0.013
    0.250  -14.9666     0.091     0.001     0.588     0.012
    0.239  -14.9796     0.090     0.001     0.591     0.011
    0.228  -14.9852     0.093     0.001     0.591     0.012
    0.228  -14.9852     0.093     0.001     0.591     0.012
    0.209  -14.9846     0.093     0.001     0.590     0.012
    0.190  -14.9825     0.091     0.001     0.587     0.011
    0.171  -14.9791     0.092     0.001     0.591     0.011
    0.152  -14.9746     0.092     0.001     0.587     0.011
    0.133  -14.9690     0.093     0.001     0.590     0.011
    0.114  -14.9626     0.092     0.001     0.586     0.011
    0.095  -14.9560     0.094     0.001     0.586     0.011
    0.076  -14.9498     0.097     0.001     0.586     0.012
    0.057  -14.9453     0.093     0.001     0.584     0.012
    0.038  -14.9453     0.094     0.000     0.581     0.013
    0.019  -14.9534     0.094     0.000     0.585     0.013
    0.000  -14.9599     0.088     0.000     0.585     0.014
 
# Band-Index    5
    0.000  -14.9201     0.094     0.001     0.582     0.011
    0.019  -14.9174     0.094     0.001     0.583     0.012
    0.038  -14.9058     0.094     0.001     0.582     0.013
    0.057  -14.8849     0.090     0.001     0.588     0.014
    0.076  -14.8599     0.090     0.001     0.591     0.014
    0.095  -14.8334     0.088     0.001     0.590     0.014
    0.114  -14.8060     0.090     0.001     0.594     0.015
    0.133  -14.7780     0.087     0.001     0.598     0.013
    0.152  -14.7494     0.089     0.001     0.595     0.013
    0.171  -14.7204     0.089     0.001     0.597     0.014
    0.190  -14.6911     0.087     0.001     0.598     0.014
    0.209  -14.6618     0.088     0.000     0.603     0.015
    0.228  -14.6381     0.084     0.000     0.596     0.014
    0.228  -14.6381     0.084     0.000     0.596     0.014
    0.239  -14.6437     0.085     0.000     0.601     0.015
    0.250  -14.6548     0.089     0.000     0.599     0.015
    0.261  -14.6674     0.092     0.000     0.600     0.014
    0.272  -14.6804     0.090     0.000     0.597     0.014
    0.283  -14.6934     0.091     0.000     0.593     0.014
    0.294  -14.7064     0.089     0.000     0.594     0.012
    0.305  -14.7191     0.090     0.000     0.595     0.012
    0.316  -14.7316     0.090     0.000     0.596     0.012
    0.327  -14.7437     0.089     0.000     0.590     0.012
    0.338  -14.7554     0.091     0.000     0.593     0.013
    0.349  -14.7661     0.092     0.000     0.593     0.014
    0.360  -14.7732     0.085     0.001     0.594     0.015
    0.360  -14.7732     0.085     0.001     0.594     0.015
    0.382  -14.7683     0.090     0.001     0.593     0.012
    0.404  -14.7793     0.088     0.001     0.592     0.013
    0.426  -14.7937     0.091     0.002     0.591     0.012
    0.449  -14.8080     0.092     0.002     0.590     0.013
    0.471  -14.8215     0.092     0.002     0.588     0.013
    0.493  -14.8340     0.092     0.001     0.590     0.012
    0.515  -14.8462     0.092     0.001     0.586     0.011
    0.537  -14.8592     0.092     0.001     0.588     0.011
    0.559  -14.8754     0.091     0.001     0.588     0.013
    0.581  -14.8956     0.094     0.001     0.584     0.012
    0.603  -14.9137     0.093     0.001     0.584     0.012
    0.625  -14.9201     0.094     0.001     0.582     0.011
 
# Band-Index    6
    0.625  -14.8161     0.100     0.000     0.586     0.009
    0.603  -14.8143     0.099     0.000     0.584     0.009
    0.581  -14.8075     0.098     0.000     0.586     0.009
    0.559  -14.7925     0.100     0.001     0.587     0.011
    0.537  -14.7679     0.096     0.001     0.589     0.011
    0.515  -14.7359     0.094     0.001     0.588     0.012
    0.493  -14.6998     0.092     0.001     0.589     0.013
    0.471  -14.6616     0.091     0.001     0.594     0.014
    0.449  -14.6238     0.091     0.001     0.598     0.014
    0.426  -14.6299     0.090     0.001     0.596     0.014
    0.404  -14.6693     0.088     0.001     0.596     0.013
    0.382  -14.7049     0.086     0.000     0.601     0.012
    0.360  -14.7190     0.091     0.001     0.604     0.015
    0.360  -14.7190     0.091     0.001     0.604     0.015
    0.349  -14.7149     0.086     0.001     0.601     0.014
    0.338  -14.7077     0.090     0.001     0.604     0.013
    0.327  -14.6991     0.090     0.001     0.598     0.014
    0.316  -14.6897     0.089     0.001     0.599     0.016
    0.305  -14.6798     0.090     0.001     0.598     0.016
    0.294  -14.6698     0.090     0.001     0.592     0.015
    0.283  -14.6597     0.088     0.001     0.599     0.016
    0.272  -14.6499     0.090     0.001     0.598     0.016
    0.261  -14.6407     0.089     0.001     0.596     0.016
    0.250  -14.6326     0.088     0.002     0.594     0.014
    0.239  -14.6270     0.088     0.002     0.596     0.013
    0.228  -14.6251     0.087     0.002     0.593     0.015
    0.228  -14.6251     0.087     0.002     0.593     0.015
    0.209  -14.6229     0.087     0.001     0.598     0.017
    0.190  -14.6453     0.087     0.001     0.601     0.015
    0.171  -14.6700     0.083     0.001     0.599     0.016
    0.152  -14.6947     0.084     0.001     0.602     0.016
    0.133  -14.7185     0.087     0.001     0.602     0.014
    0.114  -14.7410     0.089     0.001     0.596     0.015
    0.095  -14.7618     0.089     0.001     0.597     0.014
    0.076  -14.7801     0.091     0.001     0.592     0.011
    0.057  -14.7954     0.096     0.001     0.590     0.013
    0.038  -14.8068     0.097     0.001     0.589     0.010
    0.019  -14.8138     0.102     0.000     0.587     0.009
    0.000  -14.8161     0.100     0.000     0.586     0.009
 
# Band-Index    7
    0.000  -14.6866     0.090     0.006     0.581     0.011
    0.019  -14.6828     0.089     0.006     0.583     0.012
    0.038  -14.6716     0.091     0.005     0.584     0.012
    0.057  -14.6545     0.091     0.005     0.588     0.012
    0.076  -14.6329     0.094     0.004     0.590     0.013
    0.095  -14.6081     0.091     0.004     0.588     0.012
    0.114  -14.5818     0.091     0.003     0.593     0.013
    0.133  -14.5560     0.091     0.002     0.595     0.014
    0.152  -14.5356     0.089     0.001     0.601     0.015
    0.171  -14.5401     0.084     0.001     0.611     0.016
    0.190  -14.5691     0.086     0.001     0.610     0.014
    0.209  -14.5981     0.087     0.001     0.605     0.014
    0.228  -14.6072     0.087     0.001     0.601     0.015
    0.228  -14.6072     0.087     0.001     0.601     0.015
    0.239  -14.6020     0.084     0.001     0.602     0.014
    0.250  -14.5911     0.085     0.000     0.603     0.014
    0.261  -14.5785     0.085     0.000     0.600     0.015
    0.272  -14.5655     0.085     0.000     0.601     0.015
    0.283  -14.5525     0.087     0.000     0.604     0.015
    0.294  -14.5397     0.083     0.000     0.609     0.016
    0.305  -14.5273     0.081     0.000     0.607     0.016
    0.316  -14.5154     0.082     0.000     0.607     0.016
    0.327  -14.5043     0.080     0.000     0.611     0.017
    0.338  -14.4943     0.081     0.000     0.611     0.017
