    # Energy          Mo          Au           S          Si
   -14.76009    -0.79807    -0.00769    -5.17023    -0.12561
   -14.75709    -0.86368    -0.00834    -5.61111    -0.13707
   -14.75409    -0.94887    -0.00930    -6.19577    -0.15302
   -14.75109    -1.20872    -0.01229    -7.93016    -0.19816
   -14.74809    -1.14342    -0.01171    -7.50739    -0.18794
   -14.74509    -1.03044    -0.01022    -6.76781    -0.16919
   -14.74209    -0.92443    -0.00884    -6.07669    -0.15175
   -14.73909    -0.88877    -0.00835    -5.84858    -0.14616
   -14.73609    -0.85744    -0.00793    -5.64714    -0.14123
   -14.73309    -0.81211    -0.00741    -5.36317    -0.13474
   -14.73009    -0.78847    -0.00714    -5.20952    -0.13089
   -14.72709    -0.76485    -0.00687    -5.05600    -0.12705
   -14.72409    -0.74128    -0.00660    -4.90235    -0.12320
   -14.72109    -0.71770    -0.00633    -4.74913    -0.11935
   -14.71809    -0.69416    -0.00607    -4.59538    -0.11550
   -14.71509    -0.67061    -0.00580    -4.44196    -0.11164
   -14.71209    -0.64706    -0.00554    -4.28823    -0.10777
   -14.70909    -0.64390    -0.00546    -4.27265    -0.10756
   -14.70609    -0.65339    -0.00547    -4.34271    -0.10959
   -14.70309    -0.65228    -0.00541    -4.33896    -0.10961
   -14.70009    -0.64848    -0.00534    -4.31656    -0.10912
   -14.69709    -0.63563    -0.00517    -4.24202    -0.10770
   -14.69409    -0.62472    -0.00507    -4.17496    -0.10619
   -14.69109    -0.62496    -0.00515    -4.18967    -0.10714
   -14.68809    -0.62642    -0.00524    -4.21835    -0.10873
   -14.68509    -0.64169    -0.00546    -4.32675    -0.11174
   -14.68209    -0.65698    -0.00568    -4.43569    -0.11476
   -14.67909    -0.67222    -0.00589    -4.54475    -0.11778
   -14.67609    -0.68752    -0.00610    -4.65314    -0.12079
   -14.67309    -0.70279    -0.00631    -4.76183    -0.12382
   -14.67009    -0.74520    -0.00666    -5.05578    -0.13170
   -14.66709    -0.80092    -0.00710    -5.44157    -0.14203
   -14.66409    -0.79126    -0.00706    -5.37661    -0.14021
   -14.66109    -0.85159    -0.00756    -5.79460    -0.15153
   -14.65809    -0.82498    -0.01625    -5.55955    -0.14283
   -14.65509    -0.89116    -0.01678    -6.02210    -0.15547
   -14.65209    -0.92715    -0.01733    -6.29344    -0.16363
   -14.64909    -0.97749    -0.01750    -6.64218    -0.17299
   -14.64609    -1.01500    -0.01748    -6.90322    -0.18000
   -14.64309    -1.05236    -0.01755    -7.16509    -0.18708
   -14.64009    -1.09425    -0.01789    -7.45629    -0.19484
   -14.63709    -1.14433    -0.01829    -7.80263    -0.20409
   -14.63409    -1.22895    -0.01902    -8.38482    -0.21947
