#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 440
# Band-Index    1
   0.26145    -14.667491    -14.667403
   0.27245    -14.680474    -14.680385
   0.28344    -14.693509    -14.693420
   0.29444    -14.706445    -14.706355
   0.30544    -14.719191    -14.719102
   0.31643    -14.731677    -14.731587
   0.32743    -14.743821    -14.743731
   0.33843    -14.755478    -14.755388
   0.34942    -14.766187    -14.766095
   0.36042    -14.773285    -14.773187
   0.36042    -14.773285    -14.773187
   0.38245    -14.768440    -14.768340
   0.40447    -14.779426    -14.779325
   0.42650    -14.793824    -14.793724
   0.44852    -14.808124    -14.808024
   0.47055    -14.821580    -14.821481
   0.49258    -14.834141    -14.834043
   0.51460    -14.846282    -14.846185
   0.53663    -14.859317    -14.859222
   0.55865    -14.875526    -14.875433
   0.58068    -14.895688    -14.895596
   0.60271    -14.913759    -14.913666
   0.62473    -14.920231    -14.920136
 
# Band-Index    6
   0.62473    -14.816187    -14.816105
   0.60271    -14.814410    -14.814327
   0.58068    -14.807619    -14.807533
   0.55865    -14.792605    -14.792517
   0.53663    -14.767951    -14.767862
   0.51460    -14.735997    -14.735907
   0.49258    -14.699885    -14.699793
   0.47055    -14.661732    -14.661640
   0.44852    -14.623900    -14.623804
   0.42650    -14.630019    -14.629923
   0.40447    -14.669354    -14.669258
   0.38245    -14.704955    -14.704859
   0.36042    -14.719143    -14.719044
   0.36042    -14.719143    -14.719044
   0.34942    -14.714988    -14.714888
   0.33843    -14.707808    -14.707709
   0.32743    -14.699168    -14.699068
   0.31643    -14.689754    -14.689654
   0.30544    -14.679914    -14.679813
   0.29444    -14.669868    -14.669767
   0.28344    -14.659816    -14.659714
   0.27245    -14.649991    -14.649890
   0.26145    -14.640754    -14.640651
   0.25045    -14.632737    -14.632634
   0.23946    -14.627100    -14.626996
   0.22846    -14.625237    -14.625134
   0.22846    -14.625237    -14.625134
   0.20942    -14.623025    -14.622932
   0.19038    -14.645371    -14.645280
   0.17134    -14.670078    -14.669988
   0.15231    -14.694746    -14.694656
   0.13327    -14.718600    -14.718512
   0.11423    -14.741135    -14.741047
   0.09519    -14.761858    -14.761772
   0.07615    -14.780196    -14.780110
   0.05711    -14.795450    -14.795366
   0.03808    -14.806867    -14.806784
   0.01904    -14.813854    -14.813772
   0.00000    -14.816187    -14.816105
 
# Band-Index    7
   0.00000    -14.686754    -14.686621
   0.01904    -14.682885    -14.682752
   0.03808    -14.671775    -14.671646
   0.05711    -14.654652    -14.654526
   0.07615    -14.632982    -14.632860
   0.09519    -14.608216    -14.608098
   0.11423    -14.581880    -14.581766
   0.13327    -14.556136    -14.556028
   0.15231    -14.535663    -14.535562
   0.17134    -14.540176    -14.540079
   0.19038    -14.569165    -14.569067
