    # Energy          Mo           S          Si
   -14.64721     1.00458     4.80048     0.00025
   -14.64421     1.01910     4.87170     0.00026
   -14.64121     1.15821     5.53975     0.00029
   -14.63821     1.16129     5.55535     0.00029
   -14.63521     1.09691     5.24977     0.00027
   -14.63221     1.22836     5.88149     0.00031
   -14.62921     1.24552     5.96636     0.00031
   -14.62621     1.26239     6.04993     0.00032
   -14.62321     1.24227     5.95624     0.00031
   -14.62021     1.15259     5.52783     0.00029
   -14.61721     1.06296     5.09927     0.00027
   -14.61421     0.97330     4.67085     0.00024
   -14.61121     0.88369     4.24249     0.00022
   -14.60821     0.79407     3.81379     0.00020
   -14.60521     0.70447     3.38510     0.00018
   -14.60221     0.61488     2.95642     0.00015
   -14.59921     0.59910     2.88231     0.00015
   -14.59621     0.62864     3.02558     0.00016
   -14.59321     0.65816     3.16890     0.00016
   -14.59021     0.68762     3.31217     0.00017
   -14.58721     0.71714     3.45550     0.00018
   -14.58421     0.74664     3.59884     0.00019
   -14.58121     0.77617     3.74224     0.00019
   -14.57821     0.80565     3.88553     0.00020
   -14.57521     0.84723     4.08968     0.00021
   -14.57221     0.97304     4.70444     0.00024
   -14.56921     0.91499     4.42657     0.00023
   -14.56621     0.85692     4.14864     0.00021
   -14.56321     0.78590     3.80672     0.00019
   -14.56021     0.74481     3.60937     0.00018
   -14.55721     0.71123     3.44833     0.00018
   -14.55421     0.68785     3.33668     0.00017
   -14.55121     0.71949     3.49180     0.00018
   -14.54821     0.75117     3.64681     0.00018
   -14.54521     0.78283     3.80192     0.00019
   -14.54221     0.91746     4.45742     0.00023
   -14.53921     0.94665     4.60093     0.00023
   -14.53621     0.96145     4.67479     0.00024
   -14.53321     0.97623     4.74844     0.00024
   -14.53021     0.99100     4.82231     0.00024
   -14.52721     1.00577     4.89625     0.00025
   -14.52421     1.02059     4.97010     0.00025
   -14.52121     1.03534     5.04404     0.00025
   -14.51821     0.90793     4.42790     0.00022
   -14.51521     0.90745     4.42688     0.00022
   -14.51221     0.90835     4.43259     0.00022
   -14.50921     0.91026     4.44369     0.00022
   -14.50621     0.91223     4.45473     0.00022
   -14.50321     0.90629     4.42774     0.00022
   -14.50021     0.89735     4.38613     0.00022
   -14.49721     0.89069     4.35565     0.00022
   -14.49421     0.88564     4.33296     0.00022
   -14.49121     0.88052     4.31030     0.00021
   -14.48821     0.87547     4.28766     0.00021
   -14.48521     0.87043     4.26496     0.00021
   -14.48221     0.86535     4.24231     0.00021
   -14.47921     0.86028     4.21967     0.00021
   -14.47621     0.85522     4.19694     0.00021
   -14.47321     0.85813     4.21304     0.00021
   -14.47021     0.86325     4.23968     0.00021
   -14.46721     0.86843     4.26633     0.00021
   -14.46421     0.87383     4.29452     0.00021
   -14.46121     1.98901     9.78202     0.00048
   -14.45821     1.28065     6.30171     0.00031
   -14.45521     1.39448     6.86387     0.00034
   -14.45221     1.06588     5.24884     0.00026
